feature_index,feature_name,descriptor_source,oracle_full,legacy_no_meta,signal_derived_with_ground,structural_response_only
0,story_1_mean,structural_response_signal,True,True,True,True
1,story_1_std,structural_response_signal,True,True,True,True
2,story_1_max_abs,structural_response_signal,True,True,True,True
3,story_1_rms,structural_response_signal,True,True,True,True
4,story_1_peak_to_peak,structural_response_signal,True,True,True,True
5,story_1_crest_factor,structural_response_signal,True,True,True,True
6,story_2_mean,structural_response_signal,True,True,True,True
7,story_2_std,structural_response_signal,True,True,True,True
8,story_2_max_abs,structural_response_signal,True,True,True,True
9,story_2_rms,structural_response_signal,True,True,True,True
10,story_2_peak_to_peak,structural_response_signal,True,True,True,True
11,story_2_crest_factor,structural_response_signal,True,True,True,True
12,story_3_mean,structural_response_signal,True,True,True,True
13,story_3_std,structural_response_signal,True,True,True,True
14,story_3_max_abs,structural_response_signal,True,True,True,True
15,story_3_rms,structural_response_signal,True,True,True,True
16,story_3_peak_to_peak,structural_response_signal,True,True,True,True
17,story_3_crest_factor,structural_response_signal,True,True,True,True
18,story_4_mean,structural_response_signal,True,True,True,True
19,story_4_std,structural_response_signal,True,True,True,True
20,story_4_max_abs,structural_response_signal,True,True,True,True
21,story_4_rms,structural_response_signal,True,True,True,True
22,story_4_peak_to_peak,structural_response_signal,True,True,True,True
23,story_4_crest_factor,structural_response_signal,True,True,True,True
24,ground_max_abs,measured_ground_signal,True,True,True,False
25,ground_rms,measured_ground_signal,True,True,True,False
26,story_1_max_ground_amplification,measured_ground_signal,True,True,True,False
27,story_1_rms_ground_amplification,measured_ground_signal,True,True,True,False
28,story_2_max_ground_amplification,measured_ground_signal,True,True,True,False
29,story_2_rms_ground_amplification,measured_ground_signal,True,True,True,False
30,story_3_max_ground_amplification,measured_ground_signal,True,True,True,False
31,story_3_rms_ground_amplification,measured_ground_signal,True,True,True,False
32,story_4_max_ground_amplification,measured_ground_signal,True,True,True,False
33,story_4_rms_ground_amplification,measured_ground_signal,True,True,True,False
34,story_1_relative_to_lower_max_abs,measured_ground_signal,True,True,True,False
35,story_1_relative_to_lower_rms,measured_ground_signal,True,True,True,False
36,story_2_relative_to_lower_max_abs,structural_response_signal,True,True,True,True
37,story_2_relative_to_lower_rms,structural_response_signal,True,True,True,True
38,story_3_relative_to_lower_max_abs,structural_response_signal,True,True,True,True
39,story_3_relative_to_lower_rms,structural_response_signal,True,True,True,True
40,story_4_relative_to_lower_max_abs,structural_response_signal,True,True,True,True
41,story_4_relative_to_lower_rms,structural_response_signal,True,True,True,True
42,story_2_to_story_1_max_abs_ratio,structural_response_signal,True,True,True,True
43,story_2_to_story_1_rms_ratio,structural_response_signal,True,True,True,True
44,story_3_to_story_2_max_abs_ratio,structural_response_signal,True,True,True,True
45,story_3_to_story_2_rms_ratio,structural_response_signal,True,True,True,True
46,story_4_to_story_3_max_abs_ratio,structural_response_signal,True,True,True,True
47,story_4_to_story_3_rms_ratio,structural_response_signal,True,True,True,True
48,story_1_max_abs_spatial_fraction,structural_response_signal,True,True,True,True
49,story_1_rms_spatial_fraction,structural_response_signal,True,True,True,True
