feature_index,feature_name
0,story_1_mean
1,story_1_std
2,story_1_max_abs
3,story_1_rms
4,story_1_peak_to_peak
5,story_1_crest_factor
6,story_2_mean
7,story_2_std
8,story_2_max_abs
9,story_2_rms
10,story_2_peak_to_peak
11,story_2_crest_factor
12,story_3_mean
13,story_3_std
14,story_3_max_abs
15,story_3_rms
16,story_3_peak_to_peak
17,story_3_crest_factor
18,story_4_mean
19,story_4_std
20,story_4_max_abs
21,story_4_rms
22,story_4_peak_to_peak
23,story_4_crest_factor
24,ground_max_abs
25,ground_rms
26,story_1_max_ground_amplification
27,story_1_rms_ground_amplification
28,story_2_max_ground_amplification
29,story_2_rms_ground_amplification
30,story_3_max_ground_amplification
31,story_3_rms_ground_amplification
32,story_4_max_ground_amplification
33,story_4_rms_ground_amplification
34,story_1_relative_to_lower_max_abs
35,story_1_relative_to_lower_rms
36,story_2_relative_to_lower_max_abs
37,story_2_relative_to_lower_rms
38,story_3_relative_to_lower_max_abs
39,story_3_relative_to_lower_rms
40,story_4_relative_to_lower_max_abs
41,story_4_relative_to_lower_rms
42,story_2_to_story_1_max_abs_ratio
43,story_2_to_story_1_rms_ratio
44,story_3_to_story_2_max_abs_ratio
45,story_3_to_story_2_rms_ratio
46,story_4_to_story_3_max_abs_ratio
47,story_4_to_story_3_rms_ratio
48,story_1_max_abs_spatial_fraction
49,story_1_rms_spatial_fraction
50,story_2_max_abs_spatial_fraction
51,story_2_rms_spatial_fraction
52,story_3_max_abs_spatial_fraction
53,story_3_rms_spatial_fraction
54,story_4_max_abs_spatial_fraction
55,story_4_rms_spatial_fraction
56,ground_dominant_frequency
57,ground_spectral_centroid
58,ground_band_energy
59,story_1_dominant_frequency
60,story_1_spectral_centroid
61,story_1_band_energy
62,story_1_dominant_frequency_to_input_ratio
63,story_1_centroid_to_input_ratio
64,story_2_dominant_frequency
65,story_2_spectral_centroid
66,story_2_band_energy
67,story_2_dominant_frequency_to_input_ratio
68,story_2_centroid_to_input_ratio
69,story_3_dominant_frequency
70,story_3_spectral_centroid
71,story_3_band_energy
72,story_3_dominant_frequency_to_input_ratio
73,story_3_centroid_to_input_ratio
74,story_4_dominant_frequency
75,story_4_spectral_centroid
76,story_4_band_energy
77,story_4_dominant_frequency_to_input_ratio
78,story_4_centroid_to_input_ratio
79,story_1_ground_correlation
80,story_2_ground_correlation
81,story_3_ground_correlation
82,story_4_ground_correlation
83,story_2_story_1_correlation
84,story_3_story_2_correlation
85,story_4_story_3_correlation
86,input_amplitude_g
87,input_frequency_hz
88,input_noise_level
89,input_frequency_to_healthy_mode1_ratio
90,input_frequency_distance_to_healthy_mode1
91,input_mode1_resonance_indicator
