metric,difference_definition,n_seeds,standard_mean,calibrated_mean,mean_difference,std_difference,ci95_difference_low,ci95_difference_high,calibrated_wins,standard_wins,ties,mean_relative_improvement_percent,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
test_mse,calibrated_minus_standard,10,0.0025145475589338,0.0024559195097618,-5.8628049172002646e-05,4.077540346685137e-05,-8.779701563575495e-05,-2.945908270825034e-05,10,0,0,2.3482523459606943,0.0013922700678152,0.0,0.001953125
test_mae,calibrated_minus_standard,10,0.0314500006104482,0.0310044535512343,-0.0004455470592139,0.0002565572591709,-0.0006290770663387,-0.000262017052089,10,0,0,1.4067712734304574,0.0003842774195948,0.0,0.001953125
test_rmse,calibrated_minus_standard,10,0.0501113700313862,0.0495199583204646,-0.0005914117109216,0.0004084698787267,-0.0008836134595498,-0.0002992099622934,10,0,0,1.184091279125281,0.0013305273785268,0.0,0.001953125
damaged_mae,calibrated_minus_standard,10,0.0493751873105043,0.0473473427457899,-0.0020278445647144,0.0009334736852504,-0.0026956114120002,-0.0013600777174286,10,0,0,4.052010260362744,7.310931668255496e-05,0.0,0.001953125
zero_mae,calibrated_minus_standard,10,0.0236356343650966,0.0238815604932776,0.000245926128181,0.0001612164361474,0.0001305988372269,0.000361253419135,0,10,0,-1.0187484100178652,0.0009418985844654,0.0,0.001953125
low_mae,calibrated_minus_standard,10,0.0302955398236001,0.0325739800199374,0.0022784401963373,0.0010343863856723,0.0015384847519045,0.0030183956407701,0,10,0,-7.71089582373355,6.57040864366209e-05,0.0,0.001953125
medium_mae,calibrated_minus_standard,10,0.0426138278174205,0.0423355725849105,-0.00027825523251,0.0011835911031289,-0.0011249453019787,0.0005684348369586,7,3,0,0.5899325311965977,0.4761780816603059,19.0,0.431640625
high_mae,calibrated_minus_standard,10,0.0603373847160164,0.0556957518077683,-0.004641632908248,0.001504293853406,-0.0057177399048912,-0.0035655259116048,10,0,0,7.629745964842028,4.387828889464948e-06,0.0,0.001953125
high_abs_bias,calibrated_minus_standard,10,0.0474323965281324,0.0339341073886803,-0.013498289139452,0.0035545146059639,-0.016041035710202,-0.0109555425687021,10,0,0,29.272903284325132,7.652130862994483e-07,0.0,0.001953125
high_underestimation_ratio,calibrated_minus_standard,10,0.7610611424846312,0.6573552417933878,-0.1037059006912435,0.0320496629130484,-0.1266328483901246,-0.0807789529923624,10,0,0,13.683135395252762,2.9543288397685087e-06,0.0,0.001953125
