layout_tag,sensor_layout,sensor_count,feature_count,feature_fraction_of_full,selected_C,selected_gamma,selected_epsilon,val_mse,val_mae,val_rmse,val_bias,val_damaged_mae,val_zero_mae,val_low_mae,val_medium_mae,val_high_mae,val_high_bias,val_high_abs_bias,val_high_underestimation,val_n_zero,val_n_low,val_n_medium,val_n_high,test_mse,test_mae,test_rmse,test_bias,test_damaged_mae,test_zero_mae,test_low_mae,test_medium_mae,test_high_mae,test_high_bias,test_high_abs_bias,test_high_underestimation,test_n_zero,test_n_low,test_n_medium,test_n_high,dataset_file,test_mae_ratio_to_full,test_mae_excess_vs_full_percent,test_high_mae_ratio_to_full,test_high_mae_excess_vs_full_percent,test_mae_rank,test_high_mae_rank,sensor_count_bootstrap,feature_count_bootstrap,mae_point,mae_bootstrap_mean,mae_bootstrap_sd,mae_ci_lower,mae_ci_upper,high_mae_point,high_mae_bootstrap_mean,high_mae_bootstrap_sd,high_mae_ci_lower,high_mae_ci_upper,high_bias_point,high_bias_bootstrap_mean,high_bias_bootstrap_sd,high_bias_ci_lower,high_bias_ci_upper,high_underestimation_point,high_underestimation_bootstrap_mean,high_underestimation_bootstrap_sd,high_underestimation_ci_lower,high_underestimation_ci_upper
1234,"1,2,3,4",4,78,1.0,1000.0,0.003,0.03,0.0012512588241516,0.0217409119158576,0.0353731370414274,0.0076603444175332,0.0309734369119395,0.0178466241213017,0.0277402330921507,0.0272949392670894,0.0345018355146341,-0.018404735168328,0.018404735168328,0.6591760299625468,1266,90,177,267,0.0011911835959763,0.0220471400890294,0.0345135277243052,0.0061818154527204,0.0321112500206671,0.0175607296375765,0.021732865199866,0.0312508931765173,0.0367799555778243,-0.0213373047968552,0.0213373047968552,0.6824817518248175,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_1234_clean_descriptors.npz,1.0,0.0,1.0,0.0,1,1,4,78,0.0220471400890294,0.0220551652387177,0.0007758273757504,0.0206004276854039,0.0236043874294489,0.0367799555778243,0.0367539896581561,0.0023457138669109,0.0322723251042781,0.0414528974319222,-0.0213373047968552,-0.0213576922515299,0.0029828723695396,-0.0272776633079774,-0.0154880307777201,0.6824817518248175,0.6828893027127159,0.0291900255408038,0.6249887184115523,0.7378277153558053
1,1,1,19,0.2435897435897435,1000.0,0.01,0.04,0.0097979326524018,0.069798582050836,0.0989845071331964,-0.0124473557509232,0.1408830471480413,0.0398150872941949,0.0374154583500024,0.0998498090164494,0.2029615720211321,-0.2012370074746258,0.2012370074746258,0.99250936329588,1266,90,177,267,0.0103719169075129,0.0712681232439257,0.1018426085070139,-0.0140321362360406,0.1416519746820768,0.0398921894702921,0.0404637849745293,0.1010587568011765,0.2073875445858633,-0.2056673763041538,0.2056673763041538,0.9817518248175182,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_1_clean_descriptors.npz,3.232533696258787,223.25336962587872,5.638602367179122,463.86023671791224,12,12,1,19,0.0712681232439257,0.0713166563813105,0.0016512038254494,0.0680133455233297,0.0745026571318999,0.2073875445858633,0.2074807959431923,0.0036558585261834,0.2001273411788126,0.2146212656629942,-0.2056673763041538,-0.2057671994999786,0.0041611274977301,-0.2136069323833503,-0.197157983336686,0.9817518248175182,0.9818647325349048,0.0093999637836996,0.9615350877192984,0.9964788732394366
2,2,1,17,0.2179487179487179,300.0,0.01,0.04,0.009907766315365,0.0717485065777523,0.0995377632628194,-0.0138232513398868,0.1460786590272925,0.0403959778194155,0.0392971356612693,0.1052334291272039,0.2091496058260108,-0.2091496058260108,0.2091496058260108,1.0,1266,90,177,267,0.0107333572226384,0.0736163476593896,0.1036019170799384,-0.0160414393688747,0.1472751678084604,0.040780488074864,0.0391285881083241,0.1045972467131752,0.2170875021723432,-0.2170875021723432,0.2170875021723432,1.0,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_2_clean_descriptors.npz,3.339042948977343,233.90429489773433,5.902331820738558,490.2331820738558,14,13,1,17,0.0736163476593896,0.073640493546391,0.0017086240144207,0.0702881783676793,0.0769670363385481,0.2170875021723432,0.2171185641190388,0.0033076020547667,0.2105446116292288,0.2236762979715178,-0.2170875021723432,-0.2171185641190388,0.0033076020547667,-0.2236762979715178,-0.2105446116292288,1.0,1.0,0.0,1.0,1.0
3,3,1,17,0.2179487179487179,1000.0,0.003,0.04,0.0098218592500634,0.0708873451481258,0.0991052937539837,-0.016289063975964,0.1477214347631404,0.0384786533199917,0.0382122771890121,0.1035400575867169,0.2139234120736217,-0.2133413484788592,0.2133413484788592,0.99250936329588,1266,90,177,267,0.0106157953216958,0.0730260471774763,0.1030329817179714,-0.018254404392992,0.149492666942531,0.0389385178846206,0.0383149509413586,0.1053191154140188,0.2214496812017715,-0.2207507631411486,0.2207507631411486,0.9927007299270072,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_3_clean_descriptors.npz,3.3122684793849357,231.22684793849356,6.020933895180931,502.09338951809303,13,14,1,17,0.0730260471774763,0.0730474960368244,0.0015552552443306,0.0700372146866365,0.0761093550454625,0.2214496812017715,0.2214382972578443,0.0033403820634742,0.2148693577186655,0.2279804432015739,-0.2207507631411486,-0.2207354349073401,0.0035091289846211,-0.2275306124336736,-0.2137206164347147,0.9927007299270072,0.992700552769936,0.0050644446701943,0.981203007518797,1.0
4,4,1,17,0.2179487179487179,300.0,0.01,0.04,0.0103582192336822,0.0734874551743922,0.1017753370600279,-0.01618277577967,0.1529644497053864,0.0399639835475747,0.0418328116089337,0.1065303070473548,0.2212067368932229,-0.2203811430918913,0.2203811430918913,0.99250936329588,1266,90,177,267,0.0111765677684704,0.0755871483702163,0.1057192875896845,-0.0185868912538466,0.1540829874245222,0.0405950273460076,0.0382325085661426,0.1083218072545708,0.2288954880989566,-0.2288708081669854,0.2288708081669854,0.9963503649635036,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_4_clean_descriptors.npz,3.4284332600502685,242.84332600502685,6.223375871529438,522.3375871529438,15,15,1,17,0.0755871483702163,0.0756137002454044,0.001599135734433,0.0724867263096125,0.0788303374455633,0.2288954880989565,0.2289090017716501,0.0029996439770734,0.2230764583964674,0.2348148323383379,-0.2288708081669854,-0.2288843933995359,0.0030060417237893,-0.2347916843655999,-0.2230445050098546,0.9963503649635036,0.9963609471385848,0.0035820642835326,0.9884158660321452,1.0
12,"1,2",2,36,0.4615384615384615,1000.0,0.003,0.04,0.0060026231668562,0.0531765906989215,0.0774765975431049,-0.0011057662328421,0.0957611234762105,0.035214394408975,0.0386024487926538,0.0675144197905159,0.1337534353634316,-0.12943871765768,0.12943871765768,0.9588014981273408,1266,90,177,267,0.0067199766315555,0.0545806983047183,0.0819754635946364,-0.0040192469716511,0.0986879317409763,0.0349184376162659,0.0345606223829096,0.0748690530099987,0.1391504275868064,-0.1357688037967697,0.1357688037967697,0.937956204379562,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_12_clean_descriptors.npz,2.4756362087923307,147.56362087923304,3.783322339592603,278.33223395926035,6,7,2,36,0.0545806983047183,0.0546157563809582,0.0014944177486048,0.0516772841876074,0.0575484999629068,0.1391504275868064,0.1391657660672686,0.0050190302289947,0.1293683535610729,0.1488997189528087,-0.1357688037967697,-0.1358303751674793,0.0053178844447625,-0.1459736135316125,-0.1254489787745739,0.937956204379562,0.9384560286603032,0.0140581664640657,0.909433620453924,0.965034965034965
13,"1,3",2,31,0.3974358974358974,1000.0,0.01,0.04,0.0071838599595963,0.0574643618828644,0.084757654283235,0.0035109408339322,0.0975407862620999,0.0405600880925708,0.0396782060750612,0.0690045695248699,0.1359622940498271,-0.1282860753477046,0.1282860753477046,0.9288389513108616,1266,90,177,267,0.0074633879397684,0.0575605152397786,0.0863909019501963,0.0018446358700613,0.0960281315039317,0.0404123007605779,0.0352898071807036,0.0672646360596404,0.1382463744515593,-0.1313622084115557,0.1313622084115557,0.8978102189781022,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_13_clean_descriptors.npz,2.6107928287905424,161.07928287905423,3.758742289914887,275.87422899148874,9,6,2,31,0.0575605152397786,0.0575621851107817,0.0015742092189379,0.0545127551177761,0.0607206895650441,0.1382463744515593,0.1382593659250922,0.0048705197432115,0.1286799435706724,0.1475982443640228,-0.1313622084115557,-0.1313820781770859,0.0055340032860776,-0.142015503798748,-0.1205328329586002,0.8978102189781022,0.8982003002637267,0.0189737482079229,0.8596448228414173,0.93361465727876
14,"1,4",2,31,0.3974358974358974,750.0,0.01,0.04,0.0072144854498447,0.0583805625985452,0.0849381271858803,0.0006350234592012,0.102915200471574,0.0395958101307748,0.0380161167991884,0.0728304599199611,0.1447351128616497,-0.138698261728027,0.138698261728027,0.947565543071161,1266,90,177,267,0.0078517643329518,0.0598158087689729,0.0886101818808193,-0.0005285054893237,0.1031432700173466,0.0405011573690954,0.0380997208091433,0.0733038025322928,0.1477496031236364,-0.1410838564316173,0.1410838564316173,0.927007299270073,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_14_clean_descriptors.npz,2.7130869821404584,171.30869821404582,4.017122935643751,301.712293564375,10,10,2,31,0.0598158087689729,0.0598454630757264,0.0016135966018847,0.0567154630158898,0.0630415320837953,0.1477496031236364,0.1477944403281007,0.0047217265883661,0.1385235664114975,0.1571539967003973,-0.1410838564316173,-0.1411442902315076,0.0054566297044963,-0.1516837978414212,-0.1305116020251891,0.927007299270073,0.9274056982923804,0.0160964860657056,0.8933320158102767,0.9566787003610108
23,"2,3",2,34,0.4358974358974359,1000.0,0.003,0.04,0.0062791182514833,0.0540280420252903,0.0792408874980799,-0.0044460072902675,0.1022692560695263,0.0336798522151623,0.0387551904701435,0.0774084409272434,0.1401592567591464,-0.1384651868898797,0.1384651868898797,0.9662921348314608,1266,90,177,267,0.0070233036491977,0.0558333200954166,0.083805152879747,-0.00511318416637,0.1029693064835582,0.0348208924284137,0.0382852040367871,0.0751863561562471,0.1461416956185785,-0.1433085759969947,0.1433085759969947,0.9708029197080292,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_23_clean_descriptors.npz,2.532451822320435,153.2451822320435,3.973405984935213,297.34059849352127,7,9,2,34,0.0558333200954166,0.055830395879861,0.0015256972959198,0.0528363739672111,0.0587831017432566,0.1461416956185785,0.1460898667462232,0.004787796250972,0.1367248054644482,0.1554387911487714,-0.1433085759969947,-0.1432577273371085,0.00517733425857,-0.1533218825088648,-0.1330180436733218,0.9708029197080292,0.9706934232466368,0.0101972050969618,0.9487179487179488,0.9889705882352942
24,"2,4",2,29,0.3717948717948718,300.0,0.01,0.04,0.007864438349907,0.0627723039513565,0.0886816686238314,-0.0017730959243642,0.1140320921335277,0.0411508767086397,0.0467565917662129,0.0836506343702561,0.1568497440329936,-0.1544526806976686,0.1544526806976686,0.9775280898876404,1266,90,177,267,0.008215940569283,0.0637990530029683,0.0906418257168458,-0.0041953716153416,0.1154667653280949,0.0407664583520082,0.0466501252128339,0.0855933086280157,0.1615954088499089,-0.1614351381222424,0.1614351381222424,0.9854014598540146,1245,109,172,274,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/sensor_layouts_dependency_aware/sensor_layout_24_clean_descriptors.npz,2.893756412184921,189.3756412184921,4.393572703153,339.3572703153,11,11,2,29,0.0637990530029682,0.0638189931257484,0.0015855683505329,0.0607192430310626,0.0668556755902867,0.1615954088499089,0.1616032042400501,0.0042543484863759,0.1532379324747707,0.1698765077619129,-0.1614351381222424,-0.1614419852098905,0.0042863601230362,-0.1698042107337746,-0.1530503037173248,0.9854014598540146,0.985396189431023,0.0073610493785502,0.9694656488549618,0.9965986394557824
