base_layout,base_sensor_count,added_sensor,augmented_layout,base_feature_count,augmented_feature_count,feature_gain,mae_improvement_point,mae_relative_improvement_percent_point,mae_ci_lower,mae_ci_upper,mae_ci_entirely_positive,mae_bootstrap_positive_fraction,high_mae_improvement_point,high_mae_relative_improvement_percent_point,high_mae_ci_lower,high_mae_ci_upper,high_mae_ci_entirely_positive,high_mae_bootstrap_positive_fraction
1,1,2,12,19,36,17,0.0166874249392074,23.414991415014835,0.0144461582660156,0.0189328020857794,True,1.0,0.0682371169990569,32.903189598643,0.0605581755606594,0.0761817990859771,True,1.0
1,1,3,13,19,31,12,0.0137076080041471,19.233855727098035,0.0112824431511716,0.016264365378224,True,1.0,0.069141170134304,33.339114107538876,0.0611287621058021,0.0775780292251369,True,1.0
1,1,4,14,19,31,12,0.0114523144749528,16.069336406903275,0.0092484313752566,0.0137255214019668,True,1.0,0.0596379414622268,28.75676144453089,0.0525552097202786,0.0670239472464186,True,1.0
2,1,1,12,17,36,19,0.0190356493546712,25.85791058630889,0.016678919366783,0.0214441530308291,True,1.0,0.0779370745855368,35.901225913808474,0.0685195142118621,0.0877316207846847,True,1.0
2,1,3,23,17,34,17,0.0177830275639729,24.156356745993477,0.0155072786885584,0.0201522631598322,True,1.0,0.0709458065537647,32.68074202514049,0.0637171617392826,0.0787506759768365,True,1.0
2,1,4,24,17,29,12,0.0098172946564213,13.33575349573752,0.0076870611930254,0.0120411313946209,True,1.0,0.0554920933224343,25.56208568763198,0.0493667478509585,0.0617198240465314,True,1.0
3,1,1,13,17,31,14,0.0154655319376976,21.17810361570243,0.0128346501093588,0.0182154435337024,True,1.0,0.0832033067502122,37.57210500312368,0.074701175635414,0.0923981238911902,True,1.0
3,1,2,23,17,34,17,0.0171927270820597,23.543280441122537,0.0151000836512154,0.0193670192754327,True,1.0,0.075307985583193,34.00681598388799,0.0668925651807941,0.0841637697239007,True,1.0
3,1,4,34,17,34,17,0.0154955625451677,21.21922676097841,0.0129028657121821,0.0180580943409985,True,1.0,0.0811573980886451,36.64823432944995,0.0720343349947987,0.0902652881451432,True,1.0
4,1,1,14,17,31,14,0.0157713396012434,20.86510728516623,0.0131779667543828,0.0184787190705894,True,1.0,0.0811458849753201,35.451063561479614,0.072342442197271,0.0899055335942044,True,1.0
4,1,2,24,17,29,12,0.011788095367248,15.595369876253873,0.009839595128984,0.013814579529116,True,1.0,0.0673000792490476,29.402099538088024,0.0602835455394958,0.0744053549153957,True,1.0
4,1,3,34,17,34,17,0.0180566637379077,23.88853677806245,0.0153362609200213,0.0207936404421789,True,1.0,0.0886032049858301,38.7090220614244,0.0781937850033185,0.09879674868116,True,1.0
12,2,3,123,36,53,17,0.0200189361333024,36.67768415409206,0.0176667265979049,0.0225839128404987,True,1.0,0.0601739068253774,43.24378147371416,0.0527243309535008,0.0681825132066271,True,1.0
12,2,4,124,36,48,12,0.0112336301334126,20.581690015573734,0.0088662510183155,0.0136590714387111,True,1.0,0.0540204737752047,38.8216369234691,0.0470341287009869,0.0610848784008149,True,1.0
13,2,2,123,31,53,22,0.0229987530683627,39.95578040355851,0.0205395088963584,0.0254768440998049,True,1.0,0.0592698536901303,42.87262789007035,0.0507747573584742,0.0681365245958434,True,1.0
13,2,4,134,31,48,17,0.016511413421076,28.685312062087625,0.0140806657956018,0.0188387065153244,True,1.0,0.0519651174016251,37.58877410548904,0.0436818993730701,0.0604222017718038,True,1.0
14,2,2,124,31,48,17,0.0164687405976671,27.532421506285313,0.0139978687582386,0.0188996533298688,True,1.0,0.0626196493120348,42.38227919951491,0.0551015702773094,0.0704175743901368,True,1.0
14,2,3,134,31,48,17,0.0187667069502702,31.374158999927705,0.0162479005487277,0.0213749491919049,True,1.0,0.0614683460737023,41.60305325643803,0.0526554698177782,0.0705638879546329,True,1.0
23,2,1,123,34,53,19,0.0212715579240007,38.09832173270124,0.0187999365937923,0.0238335006077759,True,1.0,0.0671651748571495,45.95894044670645,0.0584808240240118,0.0760558117648586,True,1.0
23,2,4,234,34,51,17,0.0146261135870102,26.19603054594447,0.0123941776662013,0.0168786950797085,True,1.0,0.0601705173431136,41.17272424439038,0.052362873693408,0.0680826037106724,True,1.0
24,2,1,124,29,48,19,0.0204519848316625,32.056878384560086,0.0177378902947253,0.0231994619616096,True,1.0,0.0764654550383072,47.3190764406735,0.0674103553392377,0.0854344348357843,True,1.0
24,2,3,234,29,51,22,0.0225918464945619,35.41094331527279,0.0198427422520471,0.0253371143158618,True,1.0,0.0756242305744441,46.7985019578647,0.0672032695553576,0.0840085360453652,True,1.0
34,2,1,134,34,48,14,0.0164813828136059,28.648086173691173,0.0140086663485372,0.0190774166018342,True,1.0,0.0540110260631922,38.49892871131038,0.0452046851688383,0.0632368902088688,True,1.0
34,2,2,234,34,51,17,0.0163232781239022,28.37326719604101,0.0136917603670187,0.0189747017494901,True,1.0,0.0543211048376615,38.71995211159197,0.0445141345428415,0.0639936158154385,True,1.0
123,3,4,1234,53,78,25,0.0125146220823863,36.20944447310776,0.0104510746455067,0.0145360517637268,True,1.0,0.0421965651836046,53.42925312077414,0.0341468322044294,0.05036899956554,True,1.0
124,3,3,1234,48,78,30,0.0212999280822762,49.138105484089145,0.0188974942579432,0.0236518229976685,True,1.0,0.0483499982337773,56.79551799215011,0.040733315819997,0.056012910388054,True,1.0
134,3,2,1234,48,78,30,0.0190019617296731,46.29081000017292,0.0164390494518963,0.0215976882340577,True,1.0,0.0495013014721098,57.372021647136606,0.0419167552151511,0.0571117551166205,True,1.0
234,3,1,1234,51,78,27,0.0191600664193768,46.496882567053355,0.017030942394766,0.0214295879377872,True,1.0,0.0491912226976404,57.21827208186476,0.0417087567581534,0.0570301467290135,True,1.0
