Layout,Sensors,Observable descriptors,Overall MAE [95% CI],High-damage MAE [95% CI],High-damage underestimation [95% CI],Best overall within sensor count,Best high-damage within sensor count
1,1,19,"0.0713 [0.0680, 0.0745]","0.2074 [0.2001, 0.2146]","0.982 [0.962, 0.996]",Yes,Yes
2,1,17,"0.0736 [0.0703, 0.0770]","0.2171 [0.2105, 0.2237]","1.000 [1.000, 1.000]",No,No
3,1,17,"0.0730 [0.0700, 0.0761]","0.2214 [0.2149, 0.2280]","0.993 [0.981, 1.000]",No,No
4,1,17,"0.0756 [0.0725, 0.0788]","0.2289 [0.2231, 0.2348]","0.996 [0.988, 1.000]",No,No
12,2,36,"0.0546 [0.0517, 0.0575]","0.1392 [0.1294, 0.1489]","0.938 [0.909, 0.965]",Yes,No
13,2,31,"0.0576 [0.0545, 0.0607]","0.1382 [0.1287, 0.1476]","0.898 [0.860, 0.934]",No,Yes
14,2,31,"0.0598 [0.0567, 0.0630]","0.1477 [0.1385, 0.1572]","0.927 [0.893, 0.957]",No,No
23,2,34,"0.0558 [0.0528, 0.0588]","0.1461 [0.1367, 0.1554]","0.971 [0.949, 0.989]",No,No
24,2,29,"0.0638 [0.0607, 0.0669]","0.1616 [0.1532, 0.1699]","0.985 [0.969, 0.997]",No,No
34,2,34,"0.0575 [0.0544, 0.0608]","0.1403 [0.1308, 0.1500]","0.938 [0.908, 0.966]",No,No
123,3,53,"0.0346 [0.0323, 0.0369]","0.0790 [0.0702, 0.0881]","0.788 [0.738, 0.836]",Yes,Yes
124,3,48,"0.0433 [0.0407, 0.0460]","0.0851 [0.0767, 0.0937]","0.807 [0.758, 0.853]",No,No
134,3,48,"0.0410 [0.0382, 0.0441]","0.0863 [0.0777, 0.0952]","0.836 [0.789, 0.878]",No,No
234,3,51,"0.0412 [0.0387, 0.0436]","0.0860 [0.0780, 0.0942]","0.843 [0.799, 0.886]",No,No
1234,4,78,"0.0220 [0.0206, 0.0236]","0.0368 [0.0323, 0.0415]","0.682 [0.625, 0.738]",Yes,Yes
