seed,feature_set,model,best_candidate,n_total_samples,n_train,n_val,n_test,n_features,best_val_mse,test_mse,test_mae,test_rmse,negative_prediction_ratio_raw,negative_prediction_ratio,mean_true_damage,mean_pred_damage,bias_mean_pred_minus_true,mean_prediction_on_zero_entries,mae_on_damaged_entries,mae_on_high_damage_entries,selected_feature_indices
0,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.004048801802217359,0.003739942303771543,0.04415745530759549,0.061155067686754654,0.18722222222222223,0.18722222222222223,0.061362137746447575,0.06140729123412507,4.515348767749925e-05,0.021002228456225076,0.06219418026054374,0.07630135265002544,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
1,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.004056291708454298,0.0037132884449619114,0.044979422260468485,0.06093675774901313,0.18833333333333332,0.18833333333333332,0.058983839033700504,0.060092279794473895,0.0011084407607733972,0.02221838528151205,0.06295407050149816,0.07734200975721146,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
2,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.004441381821203434,0.004124407163785505,0.046708668483327574,0.06422154750382075,0.185,0.185,0.059433812172436595,0.06142622844230986,0.0019924162698732664,0.023476383577151046,0.06597913641260646,0.08117954207979908,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
3,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.003924669534561875,0.0036922361537187883,0.04479118718821552,0.060763773366363516,0.2,0.2,0.059092943277882615,0.05975329800354425,0.0006603547256616391,0.02180987086893734,0.06428023038615546,0.07886502926339967,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
4,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.004097264520703785,0.0040359496221765035,0.04656160735240231,0.06352912420438758,0.18055555555555555,0.18055555555555555,0.06228477313557466,0.061159023749847885,-0.0011257493857267681,0.021870499396617955,0.06580485947261538,0.08230038608256508,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
5,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.00388265891281128,0.00391279453133809,0.045740905488557304,0.06255233433963987,0.20166666666666666,0.20166666666666666,0.06094549242145425,0.06108529343134835,0.0001398010098940952,0.020568520954450806,0.06382258727016153,0.07748115597022603,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
6,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.0039003904570852075,0.0038584786600407662,0.045018448280421425,0.062116653644902396,0.19555555555555557,0.19555555555555557,0.05987907275659737,0.059767480413268854,-0.00011159234332850919,0.02133950300127914,0.06508705809492327,0.07990291776300912,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
7,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.0036807804442828443,0.0038560887214805876,0.04496116492902982,0.062097413162551206,0.18888888888888888,0.18888888888888888,0.05965842456124985,0.06050908845710896,0.0008506638958591018,0.021332797298426933,0.06376680042385119,0.07783782588728683,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
8,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.0038589859980045363,0.003941662143512146,0.04637254324714665,0.06278265798381068,0.19166666666666668,0.19166666666666668,0.06034169365438788,0.059696739068083766,-0.0006449545863041105,0.02165850259473698,0.06733654049325463,0.08267109398915917,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
9,full,ridge,ridge_alpha_0.01,3000,2100,450,450,92,0.003573457127489683,0.0036834070646305675,0.04496962750094413,0.06069107895424638,0.20777777777777778,0.20777777777777778,0.06261469731208923,0.06193373033887335,-0.0006809669732158554,0.01928649343577554,0.060612277621188496,0.0736657037469942,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
