seed,feature_set,model,best_candidate,n_total_samples,n_train,n_val,n_test,n_features,best_val_mse,overall_mse,overall_mae,overall_rmse,overall_bias,negative_prediction_ratio_raw,negative_prediction_ratio,mean_true_damage,mean_pred_damage,mae_damaged,mae_high_damage,selected_feature_indices
0,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.0033907236927584626,0.0033742158936806857,0.03948448049843441,0.05808800128839592,0.0061475317181078895,0.1901330376940133,0.0,0.05946433302709287,0.06561186474520077,0.06412938435212263,0.08536401794566363,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
1,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.0032744039280016594,0.00362517615307213,0.041352433841400325,0.060209435747830505,0.007268043964455951,0.1746119733924612,0.0,0.05930618178209746,0.06657422574655342,0.0675857924045279,0.09035329686797204,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
2,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.0034235972257161172,0.003262546383791986,0.039640378723634045,0.0571187043252207,0.007859865460610523,0.1834811529933481,0.0,0.057434609558705614,0.06529447501931614,0.06265659112545698,0.08295901381239397,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
3,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.003412607242350849,0.0038451095878305145,0.04181641319779022,0.06200894764330801,0.005705125836411589,0.19124168514412418,0.0,0.06013431139500941,0.065839437231421,0.06813369942917576,0.09278356283029908,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
4,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.0035750818159575033,0.003562455492699514,0.040732790074375524,0.059686309089266976,0.005896916155229281,0.18237250554323725,0.0,0.05972093293333937,0.06561784908856866,0.0648923137545649,0.08645476580228298,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
5,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.0034997914992251746,0.0035275988699248677,0.03975612430486149,0.05939359283563226,0.00536452498188009,0.19235033259423504,0.0,0.06102463781587287,0.06638916279775296,0.06587869861024258,0.08810212888201634,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
6,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.0033010751360302033,0.0034857201424027587,0.03907618990641882,0.059039987655848634,0.004140944581703893,0.2039911308203991,0.0,0.06289516606261333,0.06703611064431723,0.06510498253220284,0.08814589908997222,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
7,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.0031156247775001103,0.0037701132531155574,0.04159495981315699,0.06140124797685758,0.006511503047949457,0.20121951219512196,0.0,0.06146198220924321,0.06797348525719267,0.06537208813552582,0.0898767773001571,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
8,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.003924754108754879,0.003553723989437779,0.040402612274760906,0.059613119272839424,0.006898941894767175,0.17738359201773837,0.0,0.060678983411155935,0.0675779253059231,0.0659431786126736,0.08724962900965763,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
9,full,ridge,ridge_alpha_0.01,3000,2099,450,451,92,0.003231147920093373,0.004037803958815179,0.042933784353013565,0.06354371691060556,0.0018830453298948953,0.18736141906873613,0.0,0.06375470736632481,0.0656377526962197,0.07324574136000918,0.09677472831042334,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91
