noise_level,noise_percent,tag,feature_set,model,test_mae,source_table,test_rmse,n_features,mae_on_damaged_entries,mean_prediction_on_zero_entries,config_label
0.0,0.0,debug_noise_000_1000,full,ridge,0.0344682037338973,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0513008276757704,92,0.0526344910972076,0.0255206293609236,full + ridge
0.0,0.0,debug_noise_000_1000,no_meta,ridge,0.0389672788403775,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0557375874587544,86,0.0569685507774283,0.0301009807221286,no_meta + ridge
0.0,0.0,debug_noise_000_1000,physics_no_meta_core,ridge,0.0389672788403775,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0557375874587544,86,0.0569685507774283,0.0301009807221286,physics_no_meta_core + ridge
0.0,0.0,debug_noise_000_1000,full,elasticnet,0.046280083407778,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0626959706829509,92,0.0685550620988969,0.0353088252464806,full + elasticnet
0.0,0.0,debug_noise_000_1000,response_frequency,ridge,0.0481239673649562,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0656730309835793,75,0.070873916570828,0.0369187685023626,response_frequency + ridge
0.0,0.0,debug_noise_000_1000,response_correlation,ridge,0.0481277163966545,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0657434112956572,59,0.0692784165133927,0.0377102073839327,response_correlation + ridge
0.0,0.0,debug_noise_000_1000,no_meta,elasticnet,0.0488257259387642,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0660535627872412,86,0.0718624868324915,0.0374792616179731,no_meta + elasticnet
0.0,0.0,debug_noise_000_1000,physics_no_meta_core,elasticnet,0.0488257259387642,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0660535627872412,86,0.0718624868324915,0.0374792616179731,physics_no_meta_core + elasticnet
0.0,0.0,debug_noise_000_1000,response_correlation,elasticnet,0.0547363642435974,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0721206458931389,59,0.0803060321515887,0.0421423487068256,response_correlation + elasticnet
0.0,0.0,debug_noise_000_1000,response_frequency,elasticnet,0.0564331788031588,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0738820224907622,75,0.0845011386765066,0.0426086612535994,response_frequency + elasticnet
0.0,0.0,debug_noise_000_1000,response_spatial,ridge,0.0579168264648712,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0771898933932747,64,0.088233471891562,0.0429847473741131,response_spatial + ridge
0.0,0.0,debug_noise_000_1000,response_basic_only,ridge,0.0596604746173237,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0784670983455498,52,0.0902241281498879,0.0446067348177025,response_basic_only + ridge
0.0,0.0,debug_noise_000_1000,response_spatial,elasticnet,0.0624028405583115,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0807623182409986,64,0.0954737552529963,0.0461141810818249,response_spatial + elasticnet
0.0,0.0,debug_noise_000_1000,response_basic_only,elasticnet,0.0643516783374925,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0821894693604688,52,0.0971587115373119,0.0481929903435516,response_basic_only + elasticnet
0.0,0.0,debug_noise_000_1000,response_correlation,random_forest,0.0723051897693538,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0905346427470969,59,0.1159612903455244,0.050802931276613,response_correlation + random_forest
0.0,0.0,debug_noise_000_1000,no_meta,random_forest,0.0726709731291066,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0915858162108852,86,0.1163088562385139,0.0511776874185029,no_meta + random_forest
0.0,0.0,debug_noise_000_1000,physics_no_meta_core,random_forest,0.0726709731291066,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0915858162108852,86,0.116308856238514,0.0511776874185029,physics_no_meta_core + random_forest
0.0,0.0,debug_noise_000_1000,full,random_forest,0.0727279729130831,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0914352700942746,92,0.1160726792486645,0.0513790877030206,full + random_forest
0.0,0.0,debug_noise_000_1000,response_frequency,random_forest,0.0762854809612768,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0963471709430179,75,0.1220597449744742,0.0537399479398512,response_frequency + random_forest
0.0,0.0,debug_noise_000_1000,response_basic_only,random_forest,0.0778555591757261,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0974710698668755,52,0.1247662017399724,0.0547503173157242,response_basic_only + random_forest
0.0,0.0,debug_noise_000_1000,response_spatial,random_forest,0.0781253227990026,results/tables/physics_ablation/debug_noise_000_1000/ablation_model_comparison_fixed.csv,0.0981447628409764,64,0.1243855553492714,0.055340432139915,response_spatial + random_forest
