descriptor_set,model,damage_bin,n_entries,mae,rmse,bias,mean_true,mean_prediction,underestimation_ratio
signal_derived_with_ground,ridge,zero,1245,0.033033701347935894,0.046303846813186875,0.033033701347935894,0.0,0.033033701347935894,
signal_derived_with_ground,ridge,low,109,0.03538607479740621,0.05616444575865145,-0.005684578457878832,0.07410375794559845,0.06841917948771961,0.6055045871559633
signal_derived_with_ground,ridge,medium,172,0.05862372503319215,0.07061172674775697,-0.046870660291777735,0.15220101448147777,0.10533035418970003,0.813953488372093
signal_derived_with_ground,ridge,high,274,0.09526057999271612,0.1145408313370904,-0.07830632699713341,0.27861251285544286,0.2003061858583094,0.8613138686131386
signal_derived_with_ground,rbf_svr,zero,1245,0.02331503187507879,0.03793563298879716,0.02331503187507879,0.0,0.02331503187507879,
signal_derived_with_ground,rbf_svr,low,109,0.033701077855040056,0.05216495767012098,-0.01205302180244144,0.07410375794559845,0.06205073614315701,0.7247706422018348
signal_derived_with_ground,rbf_svr,medium,172,0.04894241349871078,0.06199527990041841,-0.039299734521554594,0.15220101448147777,0.11290127995992319,0.7732558139534884
signal_derived_with_ground,rbf_svr,high,274,0.06700843225329559,0.08932299612709367,-0.05412713818229689,0.27861251285544286,0.22448537467314592,0.7773722627737226
oracle_full,ridge,zero,1245,0.028587871267977447,0.0418246967366705,0.028587871267977447,0.0,0.028587871267977447,
oracle_full,ridge,low,109,0.0323461591327141,0.05540909491458333,-0.005608314415790582,0.07410375794559845,0.06849544352980787,0.5963302752293578
oracle_full,ridge,medium,172,0.05264877503724959,0.06559803220197433,-0.0432691949082807,0.15220101448147777,0.10893181957319707,0.8372093023255814
oracle_full,ridge,high,274,0.08227807696712874,0.10354900816677666,-0.061411293588765375,0.27861251285544286,0.2172012192666775,0.7992700729927007
oracle_full,rbf_svr,zero,1245,0.01664187081250769,0.03422374707732426,0.01664187081250769,0.0,0.01664187081250769,
oracle_full,rbf_svr,low,109,0.02788062680361233,0.043899213482706714,-0.014275655274898682,0.07410375794559845,0.05982810267069976,0.7522935779816514
oracle_full,rbf_svr,medium,172,0.03872439655757323,0.05319979234235315,-0.03436538734848424,0.15220101448147777,0.11783562713299356,0.8488372093023255
oracle_full,rbf_svr,high,274,0.04918270723934687,0.071989866129401,-0.030053891253425852,0.27861251285544286,0.24855862160201703,0.6861313868613139
