descriptor_set,n_features,alpha,val_mse,val_mae,selected
legacy_no_meta,86,0.01,0.003522747183762565,0.04162564548694832,True
legacy_no_meta,86,0.1,0.0037032073636535587,0.04309784822864883,False
legacy_no_meta,86,1.0,0.004391256766659373,0.0487267903042617,False
legacy_no_meta,86,10.0,0.00626977954997941,0.06127529256647301,False
legacy_no_meta,86,100.0,0.008775962816523267,0.07532913939884082,False
legacy_no_meta,86,300.0,0.009493460083831597,0.07913118661601873,False
oracle_full,92,0.01,0.0031305831963247604,0.03881167327229763,True
oracle_full,92,0.1,0.0032858290972514275,0.040163061940938355,False
oracle_full,92,1.0,0.00392985995233197,0.0457196573776477,False
oracle_full,92,10.0,0.0060092873823912075,0.05991932255993152,False
oracle_full,92,100.0,0.008684582003049286,0.07491666005176281,False
oracle_full,92,300.0,0.009448620238146462,0.0789362091142143,False
signal_derived_with_ground,78,0.01,0.003770757617468498,0.043928209952899935,True
signal_derived_with_ground,78,0.1,0.0039215443303830125,0.04513348254100699,False
signal_derived_with_ground,78,1.0,0.004549977248433545,0.04979397433121417,False
signal_derived_with_ground,78,10.0,0.006377528553443829,0.06184847982194051,False
signal_derived_with_ground,78,100.0,0.008856716938023047,0.07584694347091114,False
signal_derived_with_ground,78,300.0,0.009546021916811661,0.07946211809745228,False
structural_response_only,59,0.01,0.0051968009948308745,0.05289613452339108,True
structural_response_only,59,0.1,0.0053132000845835204,0.053835607539991684,False
structural_response_only,59,1.0,0.005759899891279253,0.056932485320894934,False
structural_response_only,59,10.0,0.007181429853598077,0.06622084561967584,False
structural_response_only,59,100.0,0.009177351501999982,0.07754440867709778,False
structural_response_only,59,300.0,0.009713577306868152,0.0803252919856005,False
