feature_index,feature_name,raw_max_abs_error,raw_mean_abs_error,standardized_max_abs_error,standardized_mean_abs_error
0,story_1_mean,0.0,0.0,0.0,0.0
58,ground_band_energy,0.0,0.0,0.0,0.0
67,story_2_dominant_frequency_to_input_ratio,0.0,0.0,0.0,0.0
66,story_2_band_energy,0.0,0.0,0.0,0.0
65,story_2_spectral_centroid,0.0,0.0,0.0,0.0
64,story_2_dominant_frequency,0.0,0.0,0.0,0.0
63,story_1_centroid_to_input_ratio,0.0,0.0,0.0,0.0
62,story_1_dominant_frequency_to_input_ratio,0.0,0.0,0.0,0.0
61,story_1_band_energy,0.0,0.0,0.0,0.0
60,story_1_spectral_centroid,0.0,0.0,0.0,0.0
59,story_1_dominant_frequency,0.0,0.0,0.0,0.0
57,ground_spectral_centroid,0.0,0.0,0.0,0.0
1,story_1_std,0.0,0.0,0.0,0.0
56,ground_dominant_frequency,0.0,0.0,0.0,0.0
55,story_4_rms_spatial_fraction,0.0,0.0,0.0,0.0
54,story_4_max_abs_spatial_fraction,0.0,0.0,0.0,0.0
53,story_3_rms_spatial_fraction,0.0,0.0,0.0,0.0
52,story_3_max_abs_spatial_fraction,0.0,0.0,0.0,0.0
51,story_2_rms_spatial_fraction,0.0,0.0,0.0,0.0
50,story_2_max_abs_spatial_fraction,0.0,0.0,0.0,0.0
49,story_1_rms_spatial_fraction,0.0,0.0,0.0,0.0
48,story_1_max_abs_spatial_fraction,0.0,0.0,0.0,0.0
68,story_2_centroid_to_input_ratio,0.0,0.0,0.0,0.0
69,story_3_dominant_frequency,0.0,0.0,0.0,0.0
70,story_3_spectral_centroid,0.0,0.0,0.0,0.0
71,story_3_band_energy,0.0,0.0,0.0,0.0
90,input_frequency_distance_to_healthy_mode1,0.0,0.0,0.0,0.0
89,input_frequency_to_healthy_mode1_ratio,0.0,0.0,0.0,0.0
88,input_noise_level,0.0,0.0,0.0,0.0
87,input_frequency_hz,0.0,0.0,0.0,0.0
86,input_amplitude_g,0.0,0.0,0.0,0.0
85,story_4_story_3_correlation,0.0,0.0,0.0,0.0
84,story_3_story_2_correlation,0.0,0.0,0.0,0.0
83,story_2_story_1_correlation,0.0,0.0,0.0,0.0
82,story_4_ground_correlation,0.0,0.0,0.0,0.0
81,story_3_ground_correlation,0.0,0.0,0.0,0.0
80,story_2_ground_correlation,0.0,0.0,0.0,0.0
79,story_1_ground_correlation,0.0,0.0,0.0,0.0
78,story_4_centroid_to_input_ratio,0.0,0.0,0.0,0.0
77,story_4_dominant_frequency_to_input_ratio,0.0,0.0,0.0,0.0
76,story_4_band_energy,0.0,0.0,0.0,0.0
75,story_4_spectral_centroid,0.0,0.0,0.0,0.0
74,story_4_dominant_frequency,0.0,0.0,0.0,0.0
73,story_3_centroid_to_input_ratio,0.0,0.0,0.0,0.0
