noise_level,noise_percent,replicate,method,pearson_r,spearman_rho,spearman_p
0.05,5,0,standard,0.6168868976662089,0.3010953469729069,6.966595412024884e-11
0.05,5,0,calibrated,0.6245305980828377,0.30351181981145586,4.822537036788962e-11
0.05,5,1,standard,0.6081331926776434,0.24130219573100775,2.2032708615525852e-07
0.05,5,1,calibrated,0.6165491724272639,0.23865447895215947,3.011084332599652e-07
0.05,5,2,standard,0.6149389174952462,0.30724780533895646,2.7125896564677624e-11
0.05,5,2,calibrated,0.6226959965789387,0.30064352581165016,7.459766048547237e-11
0.05,5,3,standard,0.6447922736124629,0.27505722662004917,2.966424569280807e-09
0.05,5,3,calibrated,0.6537968672631117,0.2788179694714542,1.766727431698611e-09
0.05,5,4,standard,0.5866748096585455,0.27742207780449946,2.1434095799019935e-09
0.05,5,4,calibrated,0.5904295593514164,0.27121747103277877,4.994858773726799e-09
0.1,10,0,standard,0.4568337617867248,0.17674958065636542,0.00016409424484153143
0.1,10,0,calibrated,0.4426461891872161,0.1700572019285692,0.0002902456723802652
0.1,10,1,standard,0.47722601554246274,0.17689180358092307,0.00016208067898669463
0.1,10,1,calibrated,0.46632656675853223,0.17243443177497175,0.0002375899852845534
0.1,10,2,standard,0.47171914061916403,0.14304485454249158,0.002352805559347788
0.1,10,2,calibrated,0.4591634742876934,0.14070581418509065,0.0027768823259450466
0.1,10,3,standard,0.4543460876800067,0.17564959168522648,0.0001804787597075257
0.1,10,3,calibrated,0.43993079999934964,0.17050533582881894,0.00027955312760704997
0.1,10,4,standard,0.47014239381833417,0.19473985879765665,3.190085950066112e-05
0.1,10,4,calibrated,0.4564260242568815,0.18962536440509173,5.162183805559937e-05
0.2,20,0,standard,-0.0027686850484783493,0.10843806636082155,0.021408095644881872
0.2,20,0,calibrated,-0.02032610606094504,0.10950961074704897,0.020147983349664417
0.2,20,1,standard,0.009589950484591476,0.07574206950816219,0.10858876364694413
0.2,20,1,calibrated,-0.008688482054510125,0.07779376688279943,0.09931910627754793
0.2,20,2,standard,0.0042542814872670795,0.09687218208484982,0.03996728134901735
0.2,20,2,calibrated,-0.013701187704524801,0.09659748113982458,0.040537009294782995
0.2,20,3,standard,0.01694903674318858,0.10376933548643039,0.02772874991834068
0.2,20,3,calibrated,0.0013022244569448724,0.1066673909500788,0.02364042897599487
0.2,20,4,standard,0.0086688091790002,0.12200837205780442,0.009578789958755649
0.2,20,4,calibrated,-0.011679375946032317,0.12244597092660542,0.00932136452287392
