method,noise_level,noise_percent,severity,n_replicates,signed_bias_mean,signed_bias_std,mae_mean,mae_std,rmse_mean,rmse_std,underestimation_ratio_mean,underestimation_ratio_std,overestimation_ratio_mean,overestimation_ratio_std,equal_ratio_mean,equal_ratio_std
calibrated_svr,0.0,0,all,1,0.010392205510742035,0.0,0.02167655431459531,0.0,0.03405559939906099,0.0,0.16555555555555557,0.0,0.5794444444444444,0.0,0.255,0.0
calibrated_svr,0.05,5,all,5,0.03207743481032384,0.00024712838507986117,0.04672939141702687,0.0005223397809244047,0.07311350952029132,0.001018511246957046,0.1311111111111111,0.0025153847605937306,0.6602222222222223,0.004624812308503888,0.2086666666666667,0.005808146683860058
calibrated_svr,0.1,10,all,5,0.10111803892802085,0.0014475532703026861,0.11992426608180096,0.0009629578384244264,0.15986396634717953,0.0009080801958683333,0.09088888888888888,0.0031817380140614117,0.748,0.007593044250342168,0.16111111111111112,0.00456435464587639
calibrated_svr,0.2,20,all,5,0.2719399458481806,0.0013516369441235706,0.2920503664493244,0.000892411309868817,0.3383290586816973,0.0008996987092074462,0.06355555555555556,0.0015515822270854357,0.8005555555555557,0.001964185503295927,0.1358888888888889,0.0009296222517045211
calibrated_svr,0.0,0,damaged,1,-0.005905631084528921,0.0,0.030692256927968193,0.0,0.042763044000247996,0.0,0.5369369369369369,0.0,0.46306306306306305,0.0,0.0,0.0
calibrated_svr,0.05,5,damaged,5,0.009585500553970129,0.00045192091711717297,0.05710535981895295,0.000951489417701448,0.07779639706180926,0.001395444189725235,0.4252252252252252,0.008158004628952636,0.5747747747747748,0.008158004628952636,0.0,0.0
calibrated_svr,0.1,10,damaged,5,0.05988167785817948,0.0025687077816171178,0.12087484700557449,0.0009576224113113139,0.14421719063017707,0.0005760943937244476,0.29477477477477476,0.010319150315874864,0.7052252252252252,0.010319150315874832,0.0,0.0
calibrated_svr,0.2,20,damaged,5,0.1718996019177955,0.002007004791293826,0.2371225876512349,0.0019229327714784098,0.25755745208254055,0.0016961253576092906,0.20612612612612616,0.005032158574331152,0.7938738738738739,0.005032158574331144,0.0,0.0
calibrated_svr,0.0,0,high,1,-0.0028639517247114137,0.0,0.03452267490085145,0.0,0.04787311032577973,0.0,0.46715328467153283,0.0,0.5328467153284672,0.0,0.0,0.0
calibrated_svr,0.05,5,high,5,0.012823792468871059,0.001273018232326649,0.06149916744709616,0.0014532417112917086,0.08216407379327653,0.0023382333923375872,0.38540145985401464,0.014959052213079712,0.6145985401459855,0.014959052213079688,0.0,0.0
calibrated_svr,0.1,10,high,5,0.05705172288735623,0.0037159556914029205,0.12169738716075773,0.0016226346154870337,0.14173871083144357,0.0012574225910011775,0.2613138686131387,0.011993924616901443,0.7386861313868613,0.011993924616901451,0.0,0.0
calibrated_svr,0.2,20,high,5,0.13233787657209797,0.0016664021943636762,0.2090740038383958,0.002669154496300083,0.21886099207170612,0.001728536632476964,0.172992700729927,0.004896499220802468,0.827007299270073,0.004896499220802437,0.0,0.0
calibrated_svr,0.0,0,low,1,-0.006090208208968662,0.0,0.02318312546341367,0.0,0.03346262698026581,0.0,0.6238532110091743,0.0,0.3761467889908257,0.0,0.0,0.0
calibrated_svr,0.05,5,low,5,0.010605953954867704,0.0011422978772855884,0.047724865208482445,0.001639685289032786,0.07222613296766534,0.004418135674489088,0.48073394495412847,0.03815896209740443,0.5192660550458715,0.038158962097404436,0.0,0.0
calibrated_svr,0.1,10,low,5,0.07666697043154207,0.005777096118875931,0.11455654964691171,0.003913826753271302,0.1478110539513469,0.005668321256336456,0.3412844036697248,0.020920650001819047,0.6587155963302751,0.020920650001819044,0.0,0.0
calibrated_svr,0.2,20,low,5,0.23335668090686745,0.006382394960020804,0.2662106568674859,0.00628028327516698,0.30413645505733633,0.005001349596260914,0.24220183486238533,0.010460325000909524,0.7577981651376147,0.010460325000909532,0.0,0.0
calibrated_svr,0.0,0,medium,1,-0.010634126654447903,0.0,0.029349005794633468,0.0,0.03924439521458941,0.0,0.5930232558139535,0.0,0.4069767441860465,0.0,0.0,0.0
calibrated_svr,0.05,5,medium,5,0.0037801435459428544,0.001972121373738771,0.05605053785633692,0.001469207697062002,0.07385876963861031,0.0015524953310523803,0.4534883720930233,0.01087691100806378,0.5465116279069768,0.01087691100806376,0.0,0.0
calibrated_svr,0.1,10,medium,5,0.05375267071579026,0.0053946503634604,0.12356855868914447,0.004711575987925571,0.14566518758062597,0.005781484041061963,0.3186046511627907,0.015049045471563702,0.6813953488372093,0.01504904547156373,0.0,0.0
calibrated_svr,0.2,20,medium,5,0.19597571316728538,0.0021419197425737294,0.26337091567534276,0.001972743421930761,0.28127151519122995,0.0013659880189665823,0.23604651162790696,0.007800237130813219,0.7639534883720931,0.007800237130813233,0.0,0.0
calibrated_svr,0.0,0,zero,1,0.017657506161645957,0.0,0.017657506161645957,0.0,0.029353060340301454,0.0,0.0,0.0,0.6313253012048192,0.0,0.3686746987951807,0.0
calibrated_svr,0.05,5,zero,5,0.042103959719782716,0.0004854731934678698,0.042103959719782716,0.0004854731934678698,0.07092442628410742,0.0009900185383504483,0.0,0.0,0.6983132530120482,0.008397320506785634,0.3016867469879518,0.008397320506785624
calibrated_svr,0.1,10,zero,5,0.11950051313987783,0.0011639900730510615,0.11950051313987783,0.0011639900730510615,0.16636454685232466,0.001197733037868065,0.0,0.0,0.7670682730923695,0.006599066957893586,0.23293172690763053,0.006599066957893573
calibrated_svr,0.2,20,zero,5,0.3165362437448583,0.001190135371621445,0.3165362437448583,0.001190135371621445,0.36867498628298595,0.0011596134662849988,0.0,0.0,0.8035341365461847,0.0013440321711390567,0.19646586345381528,0.00134403217113907
standard_svr,0.0,0,all,1,0.006181815452720446,0.0,0.022047140089029485,0.0,0.03451352772430524,0.0,0.21833333333333332,0.0,0.5266666666666666,0.0,0.255,0.0
standard_svr,0.05,5,all,5,0.026839067262121007,0.00023059037874785347,0.04435935226467652,0.000529127987893047,0.06916945289308392,0.000907790204120892,0.15844444444444444,0.005097808776424202,0.6328888888888888,0.004990732151439036,0.2086666666666667,0.005808146683860058
standard_svr,0.1,10,all,5,0.091800481621235,0.0013735722591626544,0.11180562156655098,0.0009397832819425934,0.15043210795968162,0.0009261983816255617,0.09888888888888889,0.0033793125168323467,0.74,0.0072222222222222115,0.16111111111111112,0.00456435464587639
standard_svr,0.2,20,all,5,0.2635018062213049,0.0013293058168508058,0.28389311833100594,0.0008917418894943798,0.3301346680162271,0.0008994491275214302,0.06533333333333333,0.0016005400323208803,0.7987777777777778,0.0017743021580745911,0.1358888888888889,0.0009296222517045211
standard_svr,0.0,0,damaged,1,-0.019343856907902714,0.0,0.03211125002066712,0.0,0.04462150497609732,0.0,0.7081081081081081,0.0,0.2918918918918919,0.0,0.0,0.0
standard_svr,0.05,5,damaged,5,-0.0039152203486517885,0.0004157228789647941,0.05290732560558231,0.00100685849310046,0.07396607732426284,0.001168123774179883,0.5138738738738738,0.016533433869483926,0.48612612612612616,0.016533433869483905,0.0,0.0
standard_svr,0.1,10,damaged,5,0.04668490487265757,0.002443712987614324,0.1115664398304392,0.0009717324727056963,0.13600040157901322,0.0005130724840415505,0.32072072072072066,0.010959932487023837,0.6792792792792792,0.010959932487023804,0.0,0.0
standard_svr,0.2,20,damaged,5,0.1663490352025337,0.0018962213081310324,0.23248302042318575,0.0020130001936718967,0.2532021258251623,0.0016649297173035992,0.2118918918918919,0.005190940645365017,0.7881081081081082,0.005190940645365024,0.0,0.0
standard_svr,0.0,0,high,1,-0.02133730479685522,0.0,0.03677995557782435,0.0,0.05125903665168488,0.0,0.6824817518248175,0.0,0.3175182481751825,0.0,0.0,0.0
standard_svr,0.05,5,high,5,-0.004789494185237728,0.0012721582744312575,0.05821843237920153,0.0016232555815361848,0.07955630508896067,0.002167806508602627,0.5,0.023082318687360447,0.5,0.023082318687360426,0.0,0.0
