noise_level,noise_percent,replicate,mse_cal_minus_standard,mse_relative_improvement_percent,mae_cal_minus_standard,mae_relative_improvement_percent,rmse_cal_minus_standard,rmse_relative_improvement_percent,damaged_mae_cal_minus_standard,damaged_mae_relative_improvement_percent,zero_mae_cal_minus_standard,zero_mae_relative_improvement_percent,low_mae_cal_minus_standard,low_mae_relative_improvement_percent,medium_mae_cal_minus_standard,medium_mae_relative_improvement_percent,high_mae_cal_minus_standard,high_mae_relative_improvement_percent,high_abs_bias_cal_minus_standard,high_abs_bias_relative_improvement_percent,high_underestimation_cal_minus_standard_pp
0.0,0,0,-3.1399745547062985e-05,2.6360122531174817,-0.0003705857744341762,1.6808791205466929,-0.0004579283252442515,1.3268082269137833,-0.0014189930926989287,4.418990515117445,9.67765240693988e-05,-0.5510962589066675,0.00145026026354763,-6.6731204110011655,-0.0019018873818838766,6.085865677954445,-0.002257280676972895,6.137257757684384,-0.018473353072143806,86.57772501270398,-21.532846715328468
0.05,5,0,0.0005759699612621931,-11.724765993738059,0.002254330359462507,-5.052487214545734,0.00399500981884357,-5.699936610074693,0.003946051025177741,-7.377237957559311,0.0015001898217340062,-3.6892743651798963,0.0037574862232567854,-8.202629183575633,0.0054040101248022734,-10.857573480155594,0.003105848829097299,-5.274970346329689,0.011043460721511644,-330.67612807976946,-13.503649635036496
0.05,5,1,0.0005430350741119144,-11.646170891303344,0.0024391939617395206,-5.60599579158967,0.0038667836863615634,-5.662751663631859,0.004459337214050847,-8.635939693476635,0.0015386481745645955,-3.8574419583752713,0.0038371045280732666,-8.558000569907321,0.005436382419524294,-11.086292402831102,0.0040935400878834155,-7.313237880663364,0.009482022785233506,-236.06856674699713,-8.75912408759124
0.05,5,2,0.0005279285848962586,-11.378784460211431,0.0022995219983085527,-5.20527881894115,0.003770919941047529,-5.536147579969679,0.004005624053946055,-7.649629210492713,0.0015389704795303744,-3.7973818465570797,0.003996511488738953,-9.0469359656533,0.006061035794072363,-12.158236226589798,0.002718990660901685,-4.753634583441376,0.004339857352697345,-65.27130404612855,-10.948905109489054
0.05,5,3,0.0005796127861676702,-11.892903222600559,0.0024528156856724187,-5.4799293687881745,0.0040346971000766035,-5.77944186967549,0.004323794387716483,-8.189101518853272,0.0016187649389780845,-3.931315557354166,0.004178679774950497,-10.139703587698513,0.006008087139627125,-11.936087361836565,0.0033242292032743606,-5.638491785305438,0.007026561219737694,-131.95073080323704,-12.408759124087593
0.05,5,4,0.0005801670262097569,-11.994421520749444,0.0024043337565687606,-5.375051253457502,0.004052872589707754,-5.827416826051948,0.004255364385962052,-7.844408133309033,0.001579175524188632,-3.9002189313768474,0.004284647589227697,-10.072339571209737,0.005980048895374637,-11.419370232493836,0.0031610665583163416,-5.261021740201347,0.008279589338986476,-179.32525449232918,-11.678832116788323
0.1,10,0,0.002973323552115239,-13.303146461226302,0.008258259054544123,-7.412761757378253,0.00963376637400254,-6.443950725828613,0.009376612511716342,-8.337837695902161,0.007759715947129958,-6.994721458059322,0.01004387691549348,-9.111737546637489,0.012069197993864939,-11.046719575135205,0.007420931771054795,-6.433098958133862,0.014287532422447215,-33.562311615487125,-2.5547445255474477
0.1,10,1,0.002904766561518623,-12.79384747475016,0.00804966977099894,-7.212198051305625,0.009348849615324506,-6.204447870487124,0.009555057883333329,-8.5769623492681,0.0073785931426089135,-6.605448005587913,0.00955756235612519,-9.37035132718531,0.011618353074862184,-9.973641555131794,0.00825885437794184,-7.377118936691722,0.014615776842703036,-34.96057412202004,-4.744525547445252
0.1,10,2,0.002956169357997484,-12.815697335708048,0.008137280130449995,-7.1767883372346075,0.009438784793610433,-6.2147340700470135,0.009095744067060346,-8.084640484373317,0.007710013074370692,-6.776592529644778,0.009665854789425748,-9.59572185923178,0.011807065753230858,-10.243271732647754,0.007166950640932049,-6.207391647721469,0.014582990322940581,-29.898839015539668,-2.1897810218978075
0.1,10,3,0.0029344782296693017,-12.990193334266609,0.008121847751838052,-7.268593761498739,0.009464129330501475,-6.296845359712624,0.009241169292417056,-8.30191453197044,0.007622873089170271,-6.810486766633474,0.009825256656387407,-9.248385850775954,0.011388042198157311,-10.041968710102928,0.007661141327234222,-6.839045698562147,0.014594561325719214,-36.681004045461385,-4.744525547445255
0.1,10,4,0.0028644725187935358,-12.764539358726367,0.008026165868418741,-7.23808099539575,0.009273761824050486,-6.190649003914837,0.009273452121149273,-8.418953966634259,0.0074701466955147955,-6.716720345575905,0.009636387352220083,-9.189992597327768,0.011286137075661729,-10.722514216475144,0.007865635506686258,-6.820307428731414,0.014303149714730894,-35.81540062424399,-3.6496350364963517
