condition,noise_level,noise_percent,replicate,method,file,mse,mae,rmse,bias,damaged_mae,zero_mae,low_mae,medium_mae,high_mae,high_bias,high_abs_bias,high_underestimation,n_zero,n_low,n_medium,n_high
0,0.0,0,0,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_000_rep_0.npz,0.0011911835959763865,0.022047140089029485,0.03451352772430524,0.006181815452720446,0.03211125002066712,0.017560729637576558,0.02173286519986604,0.031250893176517344,0.03677995557782435,-0.02133730479685522,0.02133730479685522,0.6824817518248175,1245,109,172,274
0,0.0,0,0,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_000_rep_0.npz,0.0011597838504293235,0.02167655431459531,0.03405559939906099,0.010392205510742035,0.030692256927968193,0.017657506161645957,0.02318312546341367,0.029349005794633468,0.03452267490085145,-0.0028639517247114137,0.0028639517247114137,0.46715328467153283,1245,109,172,274
1,0.05,5,0,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_005_rep_0.npz,0.004912421805004945,0.044618229868498394,0.07008867101753995,0.02682553317690144,0.05348954510995948,0.04066354717049769,0.04580831510438765,0.04977180338387018,0.05887898177964813,-0.003339660708391872,0.003339660708391872,0.5072992700729927,1245,109,172,274
1,0.05,5,0,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_005_rep_0.npz,0.005488391766267138,0.0468725602279609,0.07408368083638352,0.032007109194045646,0.05743559613513722,0.04216373699223169,0.04956580132764443,0.055175813508672455,0.06198483060874543,0.014383121429903516,0.014383121429903516,0.3722627737226277,1245,109,172,274
2,0.05,5,1,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_005_rep_1.npz,0.0046627778278388494,0.04351044939061304,0.06828453578841148,0.026573077705797088,0.051636965661296996,0.03988778551091055,0.04483646030085297,0.04903697486939824,0.055974387195950215,-0.00401663928234703,0.00401663928234703,0.45985401459854014,1245,109,172,274
2,0.05,5,1,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_005_rep_1.npz,0.005205812901950764,0.04594964335235256,0.07215131947477305,0.03181265809751134,0.056096302875347843,0.04142643368547515,0.048673564828926236,0.05447335728892253,0.06006792728383363,0.013498662067580536,0.013498662067580536,0.3722627737226277,1245,109,172,274
3,0.05,5,2,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_005_rep_2.npz,0.004639586827066492,0.044176730551704006,0.06811451260242925,0.026727594166506826,0.05236363676884743,0.0405271458524955,0.04417530425673081,0.04985127514480274,0.05719814203584159,-0.006648951504983384,0.006648951504983384,0.5182481751824818,1245,109,172,274
3,0.05,5,2,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_005_rep_2.npz,0.0051675154119627505,0.04647625255001256,0.07188543254347678,0.031960527165484476,0.056369260822793484,0.04206611633202587,0.04817181574546976,0.0559123109388751,0.05991713269674327,0.01098880885768073,0.01098880885768073,0.40875912408759124,1245,109,172,274
4,0.05,5,3,standard_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_005_rep_3.npz,0.004873602141705895,0.04475998722981409,0.06981118922999303,0.027197182665890513,0.05279937460491939,0.04117616394211655,0.04121106439462462,0.05033548228573522,0.05895599975755372,-0.005325140055658803,0.005325140055658803,0.5109489051094891,1245,109,172,274
4,0.05,5,3,calibrated_svr,/Users/jerry/Desktop/Physics-Constrained Structural State Inference under Sparse and Noisy SHM Data/paper0-sss-fast-revision/data_processed/sss_fast_revision/matched_noise_78d/matched_noise_005_rep_3.npz,0.005453214927873565,0.04721280291548651,0.07384588633006964,0.032466861719331185,0.05712316899263587,0.04279492888109464,0.04538974416957512,0.056343569425362346,0.062280228960828084,0.012351701275396497,0.012351701275396497,0.38686131386861317,1245,109,172,274
