model,candidate,parameters_json,val_mse,val_mae,fit_seconds,convergence_warning_count,selected
elasticnet,elasticnet_alpha_0.0005_l1_0.1,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 20000}",0.004743948740393154,0.05114468915889764,1.1560254580108449,4,True
elasticnet,elasticnet_alpha_0.0005_l1_0.3,"{""alpha"": 0.0005, ""l1_ratio"": 0.3, ""max_iter"": 20000}",0.005075129556057659,0.05338355721666287,1.0514345840201713,2,False
elasticnet,elasticnet_alpha_0.001_l1_0.1,"{""alpha"": 0.001, ""l1_ratio"": 0.1, ""max_iter"": 20000}",0.0052622126825713385,0.05470643070984477,1.1084548750077374,3,False
elasticnet,elasticnet_alpha_0.0005_l1_0.5,"{""alpha"": 0.0005, ""l1_ratio"": 0.5, ""max_iter"": 20000}",0.005331961879427271,0.05520210930192697,0.9916957920067944,2,False
elasticnet,elasticnet_alpha_0.0005_l1_0.7,"{""alpha"": 0.0005, ""l1_ratio"": 0.7, ""max_iter"": 20000}",0.005558715935445646,0.056835201279953985,0.8248622919782065,2,False
elasticnet,elasticnet_alpha_0.001_l1_0.3,"{""alpha"": 0.001, ""l1_ratio"": 0.3, ""max_iter"": 20000}",0.005761750873677876,0.05810859657439691,0.5886875829892233,1,False
elasticnet,elasticnet_alpha_0.001_l1_0.5,"{""alpha"": 0.001, ""l1_ratio"": 0.5, ""max_iter"": 20000}",0.006201532956519327,0.06118941114165528,0.4820881250197999,1,False
elasticnet,elasticnet_alpha_0.001_l1_0.7,"{""alpha"": 0.001, ""l1_ratio"": 0.7, ""max_iter"": 20000}",0.006687545897658737,0.06430465753793643,0.43274283298524097,1,False
elasticnet,elasticnet_alpha_0.005_l1_0.1,"{""alpha"": 0.005, ""l1_ratio"": 0.1, ""max_iter"": 20000}",0.0073931608586036,0.06824408433364294,0.24700291699264199,0,False
elasticnet,elasticnet_alpha_0.01_l1_0.1,"{""alpha"": 0.01, ""l1_ratio"": 0.1, ""max_iter"": 20000}",0.008743118562713795,0.07552049519476722,0.08705633296631277,0,False
elasticnet,elasticnet_alpha_0.005_l1_0.3,"{""alpha"": 0.005, ""l1_ratio"": 0.3, ""max_iter"": 20000}",0.009237368839121688,0.07788925197636114,0.04230862500844523,0,False
elasticnet,elasticnet_alpha_0.005_l1_0.5,"{""alpha"": 0.005, ""l1_ratio"": 0.5, ""max_iter"": 20000}",0.009969002966720476,0.08161488957882733,0.01740762498229742,0,False
elasticnet,elasticnet_alpha_0.01_l1_0.3,"{""alpha"": 0.01, ""l1_ratio"": 0.3, ""max_iter"": 20000}",0.010052268500784126,0.08212042194623838,0.01053162501193583,0,False
elasticnet,elasticnet_alpha_0.005_l1_0.7,"{""alpha"": 0.005, ""l1_ratio"": 0.7, ""max_iter"": 20000}",0.010112423541612457,0.08243521318907458,0.020524625026155263,0,False
elasticnet,elasticnet_alpha_0.01_l1_0.5,"{""alpha"": 0.01, ""l1_ratio"": 0.5, ""max_iter"": 20000}",0.010176971361983539,0.08279071451565784,0.0017154589877463877,0,False
elasticnet,elasticnet_alpha_0.05_l1_0.1,"{""alpha"": 0.05, ""l1_ratio"": 0.1, ""max_iter"": 20000}",0.010181433851270454,0.08280997222366264,0.0018360000103712082,0,False
elasticnet,elasticnet_alpha_0.01_l1_0.7,"{""alpha"": 0.01, ""l1_ratio"": 0.7, ""max_iter"": 20000}",0.010212069622911872,0.08294356071657648,0.0005713329883292317,0,False
elasticnet,elasticnet_alpha_0.05_l1_0.3,"{""alpha"": 0.05, ""l1_ratio"": 0.3, ""max_iter"": 20000}",0.010217711287350054,0.08296926806279742,0.0005642499891109765,0,False
