seed,descriptor_set,model,damage_bin,n_entries,mae,rmse,bias,mean_true,mean_prediction,underestimation_ratio
0,oracle_full,ridge,zero,1245,0.028411723667381858,0.04142887564828668,0.028411723667381858,0.0,0.028411723667381858,
0,oracle_full,ridge,low,105,0.02611752137880856,0.033065233110038554,-0.003721141865385707,0.07383805994327337,0.07011691807788767,0.580952380952381
0,oracle_full,ridge,medium,172,0.04965398096849106,0.062036769066395575,-0.04108730931681729,0.15268694831409155,0.11159963899727428,0.8837209302325582
0,oracle_full,ridge,high,278,0.08139895812221101,0.1039667795854652,-0.06475467508870501,0.27495214582567684,0.21019747073697181,0.8129496402877698
1,oracle_full,ridge,zero,1253,0.0295759517935464,0.04294466773197134,0.0295759517935464,0.0,0.0295759517935464,
1,oracle_full,ridge,low,108,0.03062915281990955,0.049414362790863364,0.0014324878614988404,0.07452210328013945,0.07595459114163826,0.5277777777777778
1,oracle_full,ridge,medium,171,0.04694159076502294,0.05800372041441495,-0.03860325634271411,0.15065775085011734,0.11205449450740324,0.8362573099415205
1,oracle_full,ridge,high,268,0.08498567055443723,0.10503947938048906,-0.07051944330117094,0.27000017802625287,0.199480734725082,0.7985074626865671
2,oracle_full,ridge,zero,1269,0.030791666219405125,0.04588303784584776,0.030791666219405125,0.0,0.030791666219405125,
2,oracle_full,ridge,low,98,0.028772649999927267,0.03545883054775073,-0.004637295762011529,0.07523209986848761,0.07059480410647606,0.5714285714285714
2,oracle_full,ridge,medium,159,0.05026011543318997,0.0630110021132033,-0.03958634792528176,0.1518014245121081,0.11221507658682633,0.8427672955974843
2,oracle_full,ridge,high,274,0.08683800533260207,0.1089096501661559,-0.0687503267934052,0.27544412272207625,0.20669379592867107,0.8065693430656934
3,oracle_full,ridge,zero,1269,0.02914284956719129,0.04243278584527852,0.02914284956719129,0.0,0.02914284956719129,
3,oracle_full,ridge,low,95,0.031059790764146344,0.037293347986327476,-0.007068821020622891,0.07210370136989971,0.06503488034927679,0.6105263157894737
3,oracle_full,ridge,medium,152,0.045353176797855485,0.05660638681185789,-0.03396022868406693,0.14901457773390114,0.11505434904983418,0.8092105263157895
3,oracle_full,ridge,high,284,0.08393330452343341,0.1054019933539231,-0.07092196014582676,0.2706592621637157,0.19973730201788895,0.823943661971831
4,oracle_full,ridge,zero,1236,0.029804096823362266,0.04246922135302367,0.029804096823362266,0.0,0.029804096823362266,
4,oracle_full,ridge,low,118,0.030704408089569285,0.04063270209612731,-0.009988143863449116,0.07708314611054179,0.06709500224709267,0.6271186440677966
4,oracle_full,ridge,medium,166,0.04776277039984084,0.05852051764756942,-0.040227616179436786,0.15259818973541964,0.11237057355598286,0.8674698795180723
4,oracle_full,ridge,high,280,0.08908466161681165,0.1114462508954109,-0.0744264103824498,0.27744814609610996,0.20302173571366017,0.8392857142857143
5,oracle_full,ridge,zero,1251,0.02910624914731508,0.042569955569408464,0.02910624914731508,0.0,0.02910624914731508,
5,oracle_full,ridge,low,110,0.031812757735403006,0.04072657521377285,-0.004410070172058982,0.0740682404267888,0.06965817025472984,0.5454545454545454
5,oracle_full,ridge,medium,158,0.051180125830080934,0.0639538427858651,-0.04056460450460458,0.1518715059540506,0.111306901449446,0.8164556962025317
5,oracle_full,ridge,high,281,0.08125508704595909,0.10300366044811742,-0.06385670657728144,0.27600954438053704,0.21215283780325556,0.7793594306049823
6,oracle_full,ridge,zero,1264,0.028763629502954857,0.04296232261167757,0.028763629502954857,0.0,0.028763629502954857,
6,oracle_full,ridge,low,83,0.02479584023146243,0.030571291329503415,-0.005173888309718772,0.07456568934928055,0.06939180103956179,0.5903614457831325
6,oracle_full,ridge,medium,174,0.04967445164359378,0.06204140879107238,-0.043181958224224166,0.14772642601362446,0.1045444677894003,0.8448275862068966
6,oracle_full,ridge,high,279,0.08453092280484929,0.10474294675126095,-0.06857652600024713,0.27200351476528434,0.20342698876503718,0.8351254480286738
7,oracle_full,ridge,zero,1264,0.028947131518698935,0.04205996908674407,0.028947131518698935,0.0,0.028947131518698935,
7,oracle_full,ridge,low,79,0.030272719954966325,0.03802505888888525,-0.008678551633338309,0.07511434584635461,0.0664357942130163,0.6075949367088608
7,oracle_full,ridge,medium,187,0.04763465807410454,0.06085821204423566,-0.03563211415818404,0.14788564119131778,0.11225352703313371,0.8235294117647058
7,oracle_full,ridge,high,270,0.08273467778253876,0.10471821930047918,-0.06681208353869929,0.2733204295763381,0.20650834603763887,0.8074074074074075
8,oracle_full,ridge,zero,1249,0.029231148746364125,0.042307155373716446,0.029231148746364125,0.0,0.029231148746364125,
8,oracle_full,ridge,low,101,0.02620601692240415,0.03317065320582863,-0.007330934772080675,0.07449872011625885,0.06716778534417817,0.6237623762376238
8,oracle_full,ridge,medium,178,0.05550372892700714,0.06917388597417569,-0.04436759077522891,0.15047243181846615,0.1061048410432372,0.8426966292134831
8,oracle_full,ridge,high,272,0.08716058517593105,0.10500508611811755,-0.07055703167799901,0.273185974200254,0.20262894252225494,0.8455882352941176
9,oracle_full,ridge,zero,1233,0.028531392739982436,0.041812596099307875,0.028531392739982436,0.0,0.028531392739982436,
9,oracle_full,ridge,low,101,0.030003451703551284,0.04092263726635394,-0.00045222886695757934,0.07436154466809781,0.07390931580114023,0.6039603960396039
9,oracle_full,ridge,medium,182,0.04742009180124006,0.06025407892511212,-0.037134887555725235,0.15160801474736554,0.11447312719164028,0.8186813186813187
9,oracle_full,ridge,high,284,0.07888944121794361,0.09833010255819204,-0.0643705774020952,0.27325098755726124,0.20888041015516604,0.823943661971831
