seed,descriptor_set,n_features,model,selected_candidate,selected_alpha,val_mse,val_mae,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_abs_bias,high_damage_underestimation_ratio,high_damage_n
0,oracle_full,92,ridge,ridge_alpha_0.0001,0.0001,0.003598066191961394,0.04111024965782841,0.03849129488623357,0.05734173987867664,0.0055072551071513026,0.061102224917711764,0.028411723667381858,0.08139895812221101,-0.06475467508870501,0.06475467508870501,0.8129496402877698,278
1,oracle_full,92,ridge,ridge_alpha_0.001,0.001,0.003699515724736627,0.04115338544089023,0.03953877101737332,0.058246557449423746,0.006507227026131997,0.06236036605842474,0.0295759517935464,0.08498567055443723,-0.07051944330117094,0.07051944330117094,0.7985074626865671,268
2,oracle_full,92,ridge,ridge_alpha_1e-06,1e-06,0.003540230980179563,0.03992143216632431,0.04093295330412676,0.060900991451425725,0.007493528103463971,0.06516891057439368,0.030791666219405125,0.08683800533260207,-0.0687503267934052,0.0687503267934052,0.8065693430656934,274
3,oracle_full,92,ridge,ridge_alpha_3e-05,3e-05,0.003564600974280931,0.04068218572396192,0.03925760976738265,0.05801907798055832,0.006114970368007557,0.06343017227970438,0.02914284956719129,0.08393330452343341,-0.07092196014582676,0.07092196014582676,0.823943661971831,284
4,oracle_full,92,ridge,ridge_alpha_0.003,0.003,0.0036192595675887474,0.04100012994342677,0.040740727204069876,0.05995497981954604,0.004523379724953508,0.0647082363362589,0.029804096823362266,0.08908466161681165,-0.0744264103824498,0.0744264103824498,0.8392857142857143,280
5,oracle_full,92,ridge,ridge_alpha_0.0003,0.0003,0.003355797527619988,0.0393146984653967,0.03935025576402933,0.058104748683964445,0.006429926613567261,0.0626931560873618,0.02910624914731508,0.08125508704595909,-0.06385670657728144,0.06385670657728144,0.7793594306049823,281
6,oracle_full,92,ridge,ridge_alpha_1e-05,1e-05,0.0035496695293180222,0.039813327880925085,0.039245980266380334,0.058410884883998766,0.005156268598302407,0.06396555370848817,0.028763629502954857,0.08453092280484929,-0.06857652600024713,0.06857652600024713,0.8351254480286738,279
7,oracle_full,92,ridge,ridge_alpha_3e-05,3e-05,0.0031806737737974434,0.03932202577864751,0.03901486843178934,0.057752752738965754,0.0062228337542069466,0.06275669577907715,0.028947131518698935,0.08273467778253876,-0.06681208353869929,0.06681208353869929,0.8074074074074075,270
8,oracle_full,92,ridge,ridge_alpha_3e-05,3e-05,0.0033679152455831467,0.038290806416679625,0.04041325300568452,0.05867771727485483,0.004822409221012312,0.06576070894015125,0.029231148746364125,0.08716058517593105,-0.07055703167799901,0.07055703167799901,0.8455882352941176,272
9,oracle_full,92,ridge,ridge_alpha_0.01,0.01,0.0031598829258536534,0.038210940191641736,0.03846922993565484,0.056428366592402426,0.005607632564165888,0.06008008225005355,0.028531392739982436,0.07888944121794361,-0.0643705774020952,0.0643705774020952,0.823943661971831,284
