metric,effect,definition,n_seeds,mean_effect,std_effect,ci95_low,ci95_high,negative_seeds,positive_seeds,mean_relative_improvement_percent,one_sample_t_statistic,one_sample_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
test_mae,information_effect_under_ridge,92D_Ridge_minus_78D_Ridge,10,-0.0053128001987545765,0.0006185116131385975,-0.0057552567526363285,-0.0048703436448728245,10,0,11.836746437102565,-27.16286812499189,6.019323260608614e-10,0.0,0.001953125
test_mae,information_effect_under_svr,92D_SVR_minus_78D_SVR,10,-0.008345152726355689,0.0009245312820520348,-0.009006522563757524,-0.007683782888953853,10,0,26.4782708450281,-28.54385843892145,3.8702346591221706e-10,0.0,0.001953125
test_mae,model_effect_on_78d,78D_SVR_minus_78D_Ridge,10,-0.0134082939465788,0.001021172496213088,-0.014138796743932135,-0.012677791149225464,10,0,29.898933652127546,-41.52163181585463,1.3587834364875067e-11,0.0,0.001953125
test_mae,model_effect_on_92d,92D_SVR_minus_92D_Ridge,10,-0.016440646474179914,0.000701047606913482,-0.016942145721199682,-0.015939147227160146,10,0,41.569427246066496,-74.16028319805872,7.454583162333154e-14,0.0,0.001953125
test_mae,interaction_difference_in_differences,(92D_SVR-78D_SVR)-(92D_Ridge-78D_Ridge),10,-0.0030323525276011133,0.0011494273195487485,-0.0038546032985516607,-0.002210101756650566,10,0,,-8.34253762086732,1.5810304254984115e-05,0.0,0.001953125
test_rmse,information_effect_under_ridge,92D_Ridge_minus_78D_Ridge,10,-0.004956560326913941,0.0007895023037442721,-0.005521336252177155,-0.004391784401650727,10,0,7.815627857297455,-19.853038957254025,9.68966872390073e-09,0.0,0.001953125
test_rmse,information_effect_under_svr,92D_SVR_minus_78D_SVR,10,-0.00998779297142834,0.001925937265954777,-0.01136552549509535,-0.008610060447761329,10,0,19.8707217093198,-16.399378705763215,5.187145876716373e-08,0.0,0.001953125
test_rmse,model_effect_on_78d,78D_SVR_minus_78D_Ridge,10,-0.013228971970909362,0.0025101545466531205,-0.015024628360911335,-0.01143331558090739,10,0,20.84131971971195,-16.66577963750427,4.505786422209003e-08,0.0,0.001953125
test_rmse,model_effect_on_92d,92D_SVR_minus_92D_Ridge,10,-0.01826020461542376,0.0015562455179377421,-0.019373475594066415,-0.017146933636781103,10,0,31.2694797459259,-37.104580517589085,3.7191706388591964e-11,0.0,0.001953125
test_rmse,interaction_difference_in_differences,(92D_SVR-78D_SVR)-(92D_Ridge-78D_Ridge),10,-0.005031232644514398,0.00230456710731613,-0.006679820640005829,-0.003382644649022966,10,0,,-6.903749751677452,7.037471241007185e-05,0.0,0.001953125
