descriptor_set,metric,n_seeds,mean,std,median,min,max,ci95_low,ci95_high
78D_signal_derived_with_ground,test_mae,10,0.031450000610448225,0.001340236527826763,0.0312988720546642,0.0291263517004054,0.0333982868529789,0.030491253154633205,0.032408748066263246
92D_oracle_full,test_mae,10,0.023104847884092596,0.0006808776414347305,0.023053780172836373,0.02203711577711066,0.024289598877969276,0.022617777361171244,0.023591918407013947
78D_signal_derived_with_ground,test_rmse,10,0.05011137003138625,0.0019431224903737772,0.04955517613677265,0.0466671132536986,0.0530015436168593,0.04872134393875045,0.05150139612402205
92D_oracle_full,test_rmse,10,0.04012357705995796,0.0015784626597468011,0.04039648487589584,0.03772041861886393,0.04216436623131638,0.038994412895491264,0.04125274122442466
78D_signal_derived_with_ground,damaged_entry_mae,10,0.04937518731050435,0.0032044763172467566,0.049877076898924,0.0433823624316112,0.0534723533532734,0.04708284304694244,0.05166753157406626
92D_oracle_full,damaged_entry_mae,10,0.037807977208644886,0.0022344575034069663,0.03758776859781837,0.03462482000588163,0.042292013574963774,0.03620954260248474,0.03940641181480503
78D_signal_derived_with_ground,zero_damage_mae,10,0.02363563436509655,0.001517936992925301,0.0239852608501381,0.021317374660371,0.0263951636797819,0.02254976765437909,0.024721501075814008
92D_oracle_full,zero_damage_mae,10,0.01667646601708865,0.0009445890403502583,0.0166103359384117,0.01529453596803099,0.018236616956949853,0.01600074772376989,0.01735218431040741
78D_signal_derived_with_ground,high_damage_mae,10,0.06033738471601641,0.006451880864906538,0.061910472251525,0.0486209794119639,0.0694755379976392,0.05572198718280553,0.06495278224922728
92D_oracle_full,high_damage_mae,10,0.04433463980469189,0.003807920327323389,0.04376315459544761,0.03808073257434284,0.0505505172671283,0.04161061770115503,0.04705866190822875
78D_signal_derived_with_ground,high_damage_abs_bias,10,0.047432396528132394,0.007611974333437099,0.04889349766653135,0.0345429783446974,0.0607541353784315,0.04198711812063672,0.05287767493562807
92D_oracle_full,high_damage_abs_bias,10,0.027017230895932037,0.004336985944892551,0.026523180232210293,0.02185909186761334,0.03578661491314927,0.02391473804915544,0.03011972374270863
78D_signal_derived_with_ground,high_damage_underestimation_ratio,10,0.7610611424846312,0.02858992039684147,0.7563868613138687,0.7295373665480427,0.8214285714285714,0.740609145487599,0.7815131394816633
92D_oracle_full,high_damage_underestimation_ratio,10,0.6657217160591263,0.022391468718000625,0.6704203801138193,0.6298932384341637,0.6901408450704225,0.6497038242768784,0.6817396078413742
