seed,descriptor_set,n_features,model,selected_candidate,selected_C,selected_gamma,selected_epsilon,val_mse,val_mae,mean_support_vector_ratio,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_abs_bias,high_damage_underestimation_ratio,high_damage_n
0,oracle_full,92,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0017291815566140639,0.02367062017640803,0.47523809523809524,0.023066404841867824,0.040010018166676216,0.0026656087910517023,0.039720491364927904,0.01564229398219044,0.04883169057102714,-0.02991855426105206,0.02991855426105206,0.6654676258992805,278
1,oracle_full,92,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.001622577860039516,0.02342040394380715,0.4857142857142857,0.02263060119403778,0.03811765420278243,0.00441286526171566,0.036198150884641324,0.016707656516655386,0.04204842882029271,-0.026781335593081664,0.026781335593081664,0.6753731343283582,268
2,oracle_full,92,rbf_svr,rbf_svr_C_300_gamma_0p003_eps_0.02,300.0,0.003,0.02,0.0017182387300218702,0.024155755692210998,0.4963095238095238,0.023292021646363393,0.04075004703951259,0.005180552859676556,0.03656447834953562,0.017738298628723944,0.04295969912117462,-0.028632684118943767,0.028632684118943767,0.6861313868613139,274
3,oracle_full,92,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.001868217940669011,0.024514504959934128,0.4682142857142857,0.022907870542902446,0.04178367641524507,0.003667381309544094,0.03920109022042593,0.0160901403232295,0.04733614024887569,-0.030731230799215307,0.030731230799215307,0.6901408450704225,284
4,oracle_full,92,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0017645979264308564,0.02495925873024935,0.4589285714285714,0.024289598877969276,0.04153633567558056,0.0016851703506167764,0.042292013574963774,0.016074904792932953,0.0505505172671283,-0.03578661491314927,0.03578661491314927,0.6892857142857143,280
5,oracle_full,92,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.0014376545381284518,0.022392208118444907,0.4961904761904762,0.02203711577711066,0.03772041861886393,0.005176285491274035,0.03462482000588163,0.01651301536016801,0.03808073257434284,-0.02185909186761334,0.02185909186761334,0.6298932384341637,281
6,oracle_full,92,rbf_svr,rbf_svr_C_750_gamma_0p003_eps_0.02,750.0,0.003,0.02,0.001636797537865161,0.023686360440322938,0.4907142857142857,0.023041155503804922,0.04216436623131638,0.005045663704906644,0.037349943222263385,0.01697350501559785,0.04546037157880988,-0.026265024871338926,0.026265024871338926,0.6774193548387096,279
7,oracle_full,92,rbf_svr,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.0014535268037408863,0.022095245199058734,0.498452380952381,0.02345389085636628,0.040546229367228875,0.006868293346173247,0.035757312887825916,0.018236616956949853,0.040552508674372476,-0.022694433381574928,0.022694433381574928,0.6407407407407407,270
8,oracle_full,92,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0016821752948224984,0.024373989974189946,0.4669047619047619,0.023938000360789545,0.04024674038456281,0.004936953824556148,0.03854587760261004,0.017493692626407566,0.0440624496309699,-0.02415138668003123,0.02415138668003123,0.6654411764705882,272
9,oracle_full,92,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0012970891666314853,0.021152383768104188,0.4744047619047619,0.022391819239713832,0.03836028449781073,0.0033155794946236237,0.03782559397337335,0.01529453596803099,0.04346385955992533,-0.023351952473319847,0.023351952473319847,0.6373239436619719,284
