seed,selected_candidate,selected_C,selected_gamma,selected_epsilon,val_mse,val_mae,mean_support_vector_ratio,test_mae,high_damage_mae,high_damage_underestimation_ratio
0,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0017291815566140639,0.02367062017640803,0.47523809523809524,0.023066404841867824,0.04883169057102714,0.6654676258992805
1,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.001622577860039516,0.02342040394380715,0.4857142857142857,0.02263060119403778,0.04204842882029271,0.6753731343283582
2,rbf_svr_C_300_gamma_0p003_eps_0.02,300.0,0.003,0.02,0.0017182387300218702,0.024155755692210998,0.4963095238095238,0.023292021646363393,0.04295969912117462,0.6861313868613139
3,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.001868217940669011,0.024514504959934128,0.4682142857142857,0.022907870542902446,0.04733614024887569,0.6901408450704225
4,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0017645979264308564,0.02495925873024935,0.4589285714285714,0.024289598877969276,0.0505505172671283,0.6892857142857143
5,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.0014376545381284518,0.022392208118444907,0.4961904761904762,0.02203711577711066,0.03808073257434284,0.6298932384341637
6,rbf_svr_C_750_gamma_0p003_eps_0.02,750.0,0.003,0.02,0.001636797537865161,0.023686360440322938,0.4907142857142857,0.023041155503804922,0.04546037157880988,0.6774193548387096
7,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.0014535268037408863,0.022095245199058734,0.498452380952381,0.02345389085636628,0.040552508674372476,0.6407407407407407
8,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0016821752948224984,0.024373989974189946,0.4669047619047619,0.023938000360789545,0.0440624496309699,0.6654411764705882
9,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0012970891666314853,0.021152383768104188,0.4744047619047619,0.022391819239713832,0.04346385955992533,0.6373239436619719
