seed,model,damage_bin,n_entries,mae,rmse,bias,mean_true,mean_prediction,underestimation_ratio
0,rbf_svr,high,278,0.06653803319678907,0.08887592291741939,-0.05308448583598398,0.27495214582567684,0.22186765998969288,0.7841726618705036
0,rbf_svr,low,105,0.027301575367148646,0.03499945138630531,-0.008111324672172864,0.07383805994327337,0.06572673527110051,0.5714285714285714
0,rbf_svr,medium,172,0.04396917089713357,0.055684466900651694,-0.036018365499209455,0.15268694831409155,0.11666858281488213,0.8255813953488372
0,rbf_svr,zero,1245,0.0223742689767685,0.03551932345337544,0.0223742689767685,0.0,0.0223742689767685,
0,ridge,high,278,0.09350065746769708,0.1126131260988783,-0.0799782953653958,0.27495214582567684,0.19497385046028107,0.8669064748201439
0,ridge,low,105,0.028018220046197546,0.035830784496431144,-0.0028295508249566058,0.07383805994327337,0.07100850911831677,0.6095238095238096
0,ridge,medium,172,0.057316441865041735,0.06992979166831102,-0.04763085195623148,0.15268694831409155,0.10505609635786015,0.8837209302325582
0,ridge,zero,1245,0.03312749273635642,0.047020199292102,0.03312749273635642,0.0,0.03312749273635642,
1,rbf_svr,high,268,0.05414365484622474,0.07399680300381557,-0.03938578250736351,0.27000017802625287,0.23061439551888943,0.7350746268656716
1,rbf_svr,low,108,0.03307014278889176,0.047246990288392944,-0.0012632550958462667,0.07452210328013945,0.07325884818429317,0.5462962962962963
1,rbf_svr,medium,171,0.042908886017250375,0.05797520822873131,-0.0317952968051513,0.15065775085011734,0.11886245404496604,0.7894736842105263
1,rbf_svr,zero,1253,0.023766840504416582,0.039750423199373,0.023766840504416582,0.0,0.023766840504416582,
1,ridge,high,268,0.09845006469819399,0.11475615258290509,-0.08849421598145676,0.27000017802625287,0.18150596204479613,0.8955223880597015
1,ridge,low,108,0.03691789680964508,0.057694755143330764,0.004362132740656144,0.07452210328013945,0.07888423602079557,0.49074074074074076
1,ridge,medium,171,0.05131780084586312,0.06235086750158006,-0.04435040767110415,0.15065775085011734,0.10630734317901318,0.8830409356725146
1,ridge,zero,1253,0.034221830445688314,0.04734599614006415,0.034221830445688314,0.0,0.034221830445688314,
2,rbf_svr,high,274,0.0624776250946147,0.08309886705567933,-0.049054706967888086,0.27544412272207625,0.22638941575418814,0.7627737226277372
2,rbf_svr,low,98,0.02481160249266844,0.03155004123589699,-0.0029504488047657398,0.07523209986848761,0.07228165106372186,0.5306122448979592
2,rbf_svr,medium,159,0.04228907880214226,0.05378024763082064,-0.03399333140285725,0.1518014245121081,0.11780809310925082,0.7924528301886793
2,rbf_svr,zero,1269,0.026395163679781997,0.04344874802891067,0.026395163679781997,0.0,0.026395163679781997,
2,ridge,high,274,0.09892746428532434,0.11880600658518249,-0.08533401906894796,0.27544412272207625,0.1901101036531283,0.8722627737226277
2,ridge,low,98,0.032647604355499335,0.040177763636724394,-0.001793933750079757,0.07523209986848761,0.07343816611840785,0.5102040816326531
2,ridge,medium,159,0.05511330998228483,0.06753623222624154,-0.04479184880390758,0.1518014245121081,0.10700957570820051,0.8238993710691824
2,ridge,zero,1269,0.033311461558585595,0.047068270446044544,0.033311461558585595,0.0,0.033311461558585595,
3,rbf_svr,high,284,0.06358245406941442,0.08710626407986385,-0.0495120299264992,0.2706592621637157,0.22114723223721652,0.7394366197183099
3,rbf_svr,low,95,0.0298814429389963,0.038725768556101964,-0.010530167978328163,0.07210370136989971,0.061573533391571525,0.6
3,rbf_svr,medium,152,0.03928452355669166,0.04943142363823493,-0.029532288523908188,0.14901457773390114,0.11948228920999296,0.743421052631579
3,rbf_svr,zero,1269,0.02193690493016987,0.03706406557860654,0.02193690493016987,0.0,0.02193690493016987,
3,ridge,high,284,0.09316310587460488,0.11339917287994788,-0.08471716225533064,0.2706592621637157,0.18594209990838506,0.897887323943662
3,ridge,low,95,0.03298179101848353,0.041666319948449236,-0.00631516667177192,0.07210370136989971,0.06578853469812779,0.5578947368421052
3,ridge,medium,152,0.05194848852333405,0.06253044584118306,-0.03752335701981916,0.14901457773390114,0.11149122071408196,0.7828947368421053
3,ridge,zero,1269,0.03258031287508588,0.04534666014963861,0.03258031287508588,0.0,0.03258031287508588,
4,rbf_svr,high,280,0.06947553799763925,0.09276190361072897,-0.06075413537843153,0.27744814609610996,0.2166940107176784,0.8214285714285714
4,rbf_svr,low,118,0.029117576595350678,0.035911192432395315,-0.00887833593538834,0.07708314611054179,0.06820481017515345,0.635593220338983
4,rbf_svr,medium,166,0.04379146152804738,0.05600803049365886,-0.03438121249337431,0.15259818973541964,0.11821697724204534,0.7831325301204819
4,rbf_svr,zero,1236,0.024238275925660052,0.03714498998534915,0.024238275925660052,0.0,0.024238275925660052,
4,ridge,high,280,0.1005533222096303,0.12067226906675393,-0.09005380898960469,0.27744814609610996,0.18739433710650527,0.8857142857142857
4,ridge,low,118,0.032900062013386126,0.04321534440891152,-0.006438698715346434,0.07708314611054179,0.07064444739519533,0.6101694915254238
4,ridge,medium,166,0.05292067995426268,0.06551972670690054,-0.04578597836114297,0.15259818973541964,0.10681221137427667,0.8493975903614458
4,ridge,zero,1236,0.03470490814031384,0.0476679853797176,0.03470490814031384,0.0,0.03470490814031384,
5,rbf_svr,high,281,0.04862097941196394,0.06823593324341688,-0.03454297834469746,0.27600954438053704,0.24146656603583955,0.7295373665480427
5,rbf_svr,low,110,0.03398480787286495,0.046458405789477436,-0.00015703443914424662,0.0740682404267888,0.07391120598764457,0.5363636363636364
5,rbf_svr,medium,158,0.04060818287454168,0.0536086274041836,-0.024600792146989035,0.1518715059540506,0.12727071380706156,0.7341772151898734
5,rbf_svr,zero,1251,0.02287011677519998,0.03917823911500107,0.02287011677519998,0.0,0.02287011677519998,
5,ridge,high,281,0.09168945695619331,0.11230663819945415,-0.08035028069953085,0.27600954438053704,0.19565926368100614,0.8718861209964412
5,ridge,low,110,0.032650725937323724,0.04156198733556124,-0.0041451036888400464,0.0740682404267888,0.06992313673794878,0.5636363636363636
5,ridge,medium,158,0.056005476550230686,0.06792072843182055,-0.043091950656952836,0.1518715059540506,0.10877955529709776,0.810126582278481
5,ridge,zero,1251,0.03309233764357434,0.04697340772035412,0.03309233764357434,0.0,0.03309233764357434,
6,rbf_svr,high,279,0.06134331940843534,0.08629624545736103,-0.048732288365174785,0.27200351476528434,0.2232712264001095,0.7383512544802867
6,rbf_svr,low,83,0.03343387344363619,0.044095768897100214,-0.00144925562222113,0.07456568934928055,0.07311643372705942,0.5542168674698795
6,rbf_svr,medium,174,0.039516318505658246,0.05668131712688595,-0.026769209345142656,0.14772642601362446,0.12095721666848183,0.7701149425287356
6,rbf_svr,zero,1264,0.024719062451246755,0.04045179848860345,0.024719062451246755,0.0,0.024719062451246755,
6,ridge,high,279,0.09365965578048172,0.1120686738936667,-0.08124949013774689,0.27200351476528434,0.19075402462753743,0.8602150537634409
6,ridge,low,83,0.030855656921633945,0.03747698909439244,-0.003340913197851214,0.07456568934928055,0.07122477615142934,0.5421686746987951
6,ridge,medium,174,0.0527935550198996,0.06491456556067701,-0.04545492110848943,0.14772642601362446,0.10227150490513502,0.8218390804597702
6,ridge,zero,1264,0.03403255569638939,0.04753130295063845,0.03403255569638939,0.0,0.03403255569638939,
7,rbf_svr,high,270,0.0645279556222223,0.0875415702314612,-0.05211968158610223,0.2733204295763381,0.2212007479902359,0.7777777777777778
7,rbf_svr,low,79,0.03026312208571398,0.03795102992615547,-0.005406936326579724,0.07511434584635461,0.0697074095197749,0.5569620253164557
7,rbf_svr,medium,187,0.0446124865420334,0.05591690570428757,-0.03371126144664016,0.14788564119131778,0.1141743797446776,0.7486631016042781
7,rbf_svr,zero,1264,0.021317374660371074,0.03462038059195723,0.021317374660371074,0.0,0.021317374660371074,
7,ridge,high,270,0.0923430780347773,0.11136572781379563,-0.07850884416300312,0.2733204295763381,0.19481158541333501,0.8407407407407408
7,ridge,low,79,0.03551002179052622,0.042880639468229655,-0.0047491274763376504,0.07511434584635461,0.07036521837001698,0.5063291139240507
7,ridge,medium,187,0.05581105215563874,0.06820875551444343,-0.041629591375795895,0.14788564119131778,0.10625604981552186,0.8021390374331551
7,ridge,zero,1264,0.03336127610712534,0.04598765785482681,0.03336127610712534,0.0,0.03336127610712534,
8,rbf_svr,high,272,0.058707303427338244,0.07718477765665517,-0.04678683302813333,0.273185974200254,0.2263991411721206,0.7720588235294118
8,rbf_svr,low,101,0.030224785417976748,0.0376433437370716,-0.008040247504386299,0.07449872011625885,0.06645847261187256,0.6039603960396039
8,rbf_svr,medium,178,0.04735266012731121,0.06030309705109189,-0.03913832695953024,0.15047243181846615,0.11133410485893587,0.7921348314606742
8,rbf_svr,zero,1249,0.024534654551491505,0.03990466792417453,0.024534654551491505,0.0,0.024534654551491505,
8,ridge,high,272,0.09729016718816842,0.11247931665658505,-0.08286227723668595,0.273185974200254,0.190323696963568,0.875
8,ridge,low,101,0.029748970913394776,0.03651643304446361,-0.006608105107666967,0.07449872011625885,0.06789061500859188,0.6435643564356436
8,ridge,medium,178,0.05912341627396891,0.07096615702085533,-0.04903133412973258,0.15047243181846615,0.10144109768873354,0.8539325842696629
8,ridge,zero,1249,0.03401364366029878,0.04675713713432125,0.03401364366029878,0.0,0.03401364366029878,
9,rbf_svr,high,284,0.05395698408552242,0.07420587188087861,-0.04035104334105025,0.27325098755726124,0.23289994421621094,0.75
9,rbf_svr,low,101,0.03086646923275348,0.04190016003542604,-0.006184571216269424,0.07436154466809781,0.0681769734518284,0.594059405940594
9,rbf_svr,medium,182,0.041805509323396134,0.06260911000404504,-0.024052805713724115,0.15160801474736554,0.1275552090336414,0.7857142857142857
9,rbf_svr,zero,1233,0.02420368119585974,0.04593716748694067,0.02420368119585974,0.0,0.02420368119585974,
9,ridge,high,284,0.0875884126199696,0.10409544159090596,-0.07648950838142837,0.27325098755726124,0.19676147917583284,0.8767605633802817
9,ridge,low,101,0.03437530525133506,0.04487322405207599,0.0007537538515469776,0.07436154466809781,0.07511529851964478,0.5247524752475248
9,ridge,medium,182,0.052387239417090024,0.06429367724132098,-0.0420577931576767,0.15160801474736554,0.10955022158968883,0.8241758241758241
9,ridge,zero,1233,0.03268161319680453,0.04526893010491129,0.03268161319680453,0.0,0.03268161319680453,
