seed,model,selected_candidate,selected_alpha,selected_C,selected_gamma,selected_epsilon,val_mse,val_mae,test_mae,test_rmse,test_bias,damaged_entry_mae,zero_damage_mae,high_damage_mae,high_damage_bias,high_damage_abs_bias,high_damage_underestimation_ratio,high_damage_n
0,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.04,,1000.0,0.001,0.04,0.002774411758267372,0.034224601632214455,0.03154605606257874,0.04960160124901434,0.0033620165873505872,0.05212060547128818,0.0223742689767685,0.06653803319678907,-0.05308448583598398,0.05308448583598398,0.7841726618705036,278
0,ridge,ridge_alpha_3e-06,3e-06,,,,0.0041111280392053026,0.046108164378689226,0.04446514018801192,0.06348228315780899,0.005844529428939697,0.06989824122821209,0.03312749273635642,0.09350065746769708,-0.0799782953653958,0.0799782953653958,0.8669064748201439,278
1,rbf_svr,rbf_svr_C_1000_gamma_0p003_eps_0.04,,1000.0,0.003,0.04,0.0024219865557635993,0.030379253494126325,0.030666303100540186,0.04866632440271471,0.007583907853349048,0.04647073935820541,0.023766840504416582,0.05414365484622474,-0.03938578250736351,0.03938578250736351,0.7350746268656716,268
1,ridge,ridge_alpha_0.001,0.001,,,,0.004250045019122423,0.04581844183690985,0.04557058204869318,0.06395461541995019,0.006694830160916164,0.07156689970603336,0.034221830445688314,0.09845006469819399,-0.08849421598145676,0.08849421598145676,0.8955223880597015,268
2,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.04,,1000.0,0.001,0.04,0.002646411656193981,0.03278608017739132,0.0332054625329944,0.0518819362164582,0.007977994069178153,0.0494809225042308,0.026395163679781997,0.0624776250946147,-0.049054706967888086,0.049054706967888086,0.7627737226277372,274
2,ridge,ridge_alpha_1e-05,1e-05,,,,0.004118039852176609,0.044363475061006456,0.04518936191447012,0.06481710458075143,0.006440563347569035,0.07357553056158397,0.033311461558585595,0.09892746428532434,-0.08533401906894796,0.08533401906894796,0.8722627737226277,274
3,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.03,,1000.0,0.001,0.03,0.0026573193172250856,0.03304043356299748,0.0303918522066228,0.04950875102453102,0.00460402335760254,0.05059774315543405,0.02193690493016987,0.06358245406941442,-0.0495120299264992,0.0495120299264992,0.7394366197183099,284
3,ridge,ridge_alpha_0.0003,0.0003,,,,0.0041373103264309395,0.04651561798981629,0.043795655282874706,0.062453483767915506,0.006100695476188461,0.07059842273199717,0.03258031287508588,0.09316310587460488,-0.08471716225533064,0.08471716225533064,0.897887323943662,284
4,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.03,,1000.0,0.001,0.03,0.0026773328310782415,0.03316317415455864,0.03339828685297892,0.05157307057701925,0.003440236791043909,0.053472353353273466,0.024238275925660052,0.06947553799763925,-0.06075413537843153,0.06075413537843153,0.8214285714285714,280
4,ridge,ridge_alpha_3e-05,3e-05,,,,0.004272703936429697,0.04621716138925853,0.04650957603895087,0.06590722046444121,0.005177756159987771,0.07237938015724052,0.03470490814031384,0.1005533222096303,-0.09005380898960469,0.09005380898960469,0.8857142857142857,280
5,rbf_svr,rbf_svr_C_750_gamma_0p003_eps_0.03,,750.0,0.003,0.03,0.002330904567065386,0.03014423928170788,0.029126351700405426,0.04666711325369862,0.008333189012991696,0.04338236243161129,0.02287011677519998,0.04862097941196394,-0.03454297834469746,0.03454297834469746,0.7295373665480427,281
5,ridge,ridge_alpha_0.0001,0.0001,,,,0.003988844722526046,0.04501545181405734,0.04422427608046882,0.06334836541333022,0.006419775503317986,0.06959049645306445,0.03309233764357434,0.09168945695619331,-0.08035028069953085,0.08035028069953085,0.8718861209964412,281
6,rbf_svr,rbf_svr_C_300_gamma_0p003_eps_0.03,,300.0,0.003,0.03,0.0026184001838502327,0.031797694772177976,0.0322280733161865,0.05199614900631568,0.00715025324544053,0.04993588998276082,0.024719062451246755,0.06134331940843534,-0.048732288365174785,0.048732288365174785,0.7383512544802867,279
6,ridge,ridge_alpha_3e-06,3e-06,,,,0.004152709312463989,0.04572372184442903,0.04494182914497152,0.06328736731240349,0.006756716990836665,0.070668175486404,0.03403255569638939,0.09365965578048172,-0.08124949013774689,0.08124949013774689,0.8602150537634409,279
7,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.02,,1000.0,0.001,0.02,0.002283956028311761,0.029896640724319554,0.03061168400935595,0.04877738961817178,0.003412052045633292,0.05252960754875312,0.021317374660371074,0.0645279556222223,-0.05211968158610223,0.05211968158610223,0.7777777777777778,270
7,ridge,ridge_alpha_1e-05,1e-05,,,,0.0038644475597795643,0.04500319652923081,0.044635134746306836,0.06252591995065193,0.007117416898606152,0.07122124914915276,0.03336127610712534,0.0923430780347773,-0.07850884416300312,0.07850884416300312,0.8407407407407408,270
