seed,model,selected_candidate,selected_alpha,selected_C,selected_gamma,selected_epsilon,val_mse,test_mae,high_damage_mae,high_damage_underestimation_ratio
0,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.04,,1000.0,0.001,0.04,0.002774411758267372,0.03154605606257874,0.06653803319678907,0.7841726618705036
0,ridge,ridge_alpha_3e-06,3e-06,,,,0.0041111280392053026,0.04446514018801192,0.09350065746769708,0.8669064748201439
1,rbf_svr,rbf_svr_C_1000_gamma_0p003_eps_0.04,,1000.0,0.003,0.04,0.0024219865557635993,0.030666303100540186,0.05414365484622474,0.7350746268656716
1,ridge,ridge_alpha_0.001,0.001,,,,0.004250045019122423,0.04557058204869318,0.09845006469819399,0.8955223880597015
2,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.04,,1000.0,0.001,0.04,0.002646411656193981,0.0332054625329944,0.0624776250946147,0.7627737226277372
2,ridge,ridge_alpha_1e-05,1e-05,,,,0.004118039852176609,0.04518936191447012,0.09892746428532434,0.8722627737226277
3,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.03,,1000.0,0.001,0.03,0.0026573193172250856,0.0303918522066228,0.06358245406941442,0.7394366197183099
3,ridge,ridge_alpha_0.0003,0.0003,,,,0.0041373103264309395,0.043795655282874706,0.09316310587460488,0.897887323943662
4,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.03,,1000.0,0.001,0.03,0.0026773328310782415,0.03339828685297892,0.06947553799763925,0.8214285714285714
4,ridge,ridge_alpha_3e-05,3e-05,,,,0.004272703936429697,0.04650957603895087,0.1005533222096303,0.8857142857142857
5,rbf_svr,rbf_svr_C_750_gamma_0p003_eps_0.03,,750.0,0.003,0.03,0.002330904567065386,0.029126351700405426,0.04862097941196394,0.7295373665480427
5,ridge,ridge_alpha_0.0001,0.0001,,,,0.003988844722526046,0.04422427608046882,0.09168945695619331,0.8718861209964412
6,rbf_svr,rbf_svr_C_300_gamma_0p003_eps_0.03,,300.0,0.003,0.03,0.0026184001838502327,0.0322280733161865,0.06134331940843534,0.7383512544802867
6,ridge,ridge_alpha_3e-06,3e-06,,,,0.004152709312463989,0.04494182914497152,0.09365965578048172,0.8602150537634409
7,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.02,,1000.0,0.001,0.02,0.002283956028311761,0.03061168400935595,0.0645279556222223,0.7777777777777778
7,ridge,ridge_alpha_1e-05,1e-05,,,,0.0038644475597795643,0.044635134746306836,0.0923430780347773,0.8407407407407408
8,rbf_svr,rbf_svr_C_1000_gamma_0p001_eps_0.03,,1000.0,0.001,0.03,0.0027473141750814674,0.032274248276069964,0.058707303427338244,0.7720588235294118
8,ridge,ridge_alpha_0.0003,0.0003,,,,0.004078912751783558,0.045819211425507954,0.09729016718816842,0.875
9,rbf_svr,rbf_svr_C_300_gamma_0p003_eps_0.02,,300.0,0.003,0.02,0.002014110862527558,0.03105168804674979,0.05395698408552242,0.75
9,ridge,ridge_alpha_0.01,0.01,,,,0.0038373536787394435,0.04343217870001477,0.0875884126199696,0.8767605633802817
