seed,storey,base_prediction,learned_upward_correction
0,1,0.0,0.0
0,1,0.025,0.0
0,1,0.05,0.0
0,1,0.075,0.0
0,1,0.1,0.035559849315049165
0,1,0.125,0.035559849315049165
0,1,0.15,0.035559849315049165
0,1,0.175,0.035559849315049165
0,1,0.2,0.035559849315049165
0,1,0.225,0.035559849315049165
0,1,0.25,0.035559849315049165
0,1,0.3,0.035559849315049165
0,1,0.35,0.035559849315049165
0,1,0.4,0.035559849315049165
0,2,0.0,0.0
0,2,0.025,0.0
0,2,0.05,0.0
0,2,0.075,0.0
0,2,0.1,0.0
0,2,0.125,0.011267919939865612
0,2,0.15,0.01986999582910245
0,2,0.175,0.01986999582910245
0,2,0.2,0.01986999582910245
0,2,0.225,0.01986999582910245
0,2,0.25,0.01986999582910245
0,2,0.3,0.01986999582910245
0,2,0.35,0.01986999582910245
0,2,0.4,0.01986999582910245
0,3,0.0,0.0
0,3,0.025,0.0
0,3,0.05,0.0
0,3,0.075,0.0
0,3,0.1,0.0
0,3,0.125,0.016744171210708456
0,3,0.15,0.016744171210708456
0,3,0.175,0.016744171210708456
0,3,0.2,0.016744171210708456
0,3,0.225,0.016744171210708456
0,3,0.25,0.016744171210708456
0,3,0.3,0.016744171210708456
0,3,0.35,0.016744171210708456
0,3,0.4,0.016744171210708456
0,4,0.0,0.0
0,4,0.025,0.0
0,4,0.05,0.0
0,4,0.075,0.0
0,4,0.1,0.0010457696429879513
0,4,0.125,0.012037086367027144
0,4,0.15,0.012037086367027144
0,4,0.175,0.012037086367027144
0,4,0.2,0.014300705789026674
0,4,0.225,0.014300705789026674
0,4,0.25,0.014300705789026674
0,4,0.3,0.014300705789026674
0,4,0.35,0.014300705789026674
0,4,0.4,0.014300705789026674
1,1,0.0,0.0
1,1,0.025,0.0
1,1,0.05,0.0
1,1,0.075,0.0
1,1,0.1,0.0
1,1,0.125,0.0110489926599905
1,1,0.15,0.0110489926599905
1,1,0.175,0.0110489926599905
1,1,0.2,0.0110489926599905
1,1,0.225,0.0110489926599905
1,1,0.25,0.0110489926599905
1,1,0.3,0.0110489926599905
1,1,0.35,0.0110489926599905
1,1,0.4,0.0110489926599905
1,2,0.0,0.0
1,2,0.025,0.0
1,2,0.05,0.0
1,2,0.075,0.0
1,2,0.1,0.0
1,2,0.125,0.0
1,2,0.15,0.005738293427531825
1,2,0.175,0.008187637447740509
1,2,0.2,0.008187637447740509
