seed,storey,oof_mae,oof_mean_residual,oof_high_mean_residual,oof_high_underestimation_ratio,n_high_damage
0,1,0.03634531365740349,-0.004585911133474296,0.06720923001325241,0.8157894736842105,304
0,2,0.032853894667013994,-0.0077588119818469735,0.04431040812727365,0.7761627906976745,344
0,3,0.029679050507979858,-0.007033190689683458,0.044967228281003385,0.8054607508532423,293
0,4,0.03770689603421221,-0.005893816018998605,0.06028870956406813,0.8106508875739645,338
1,1,0.0318229894913003,-0.00915912792314397,0.04034003251406993,0.7046979865771812,298
1,2,0.03159359682469705,-0.010199280152710013,0.03398919298644906,0.7247706422018348,327
1,3,0.03257494873214876,-0.009039672176091364,0.041492486627092734,0.7548387096774194,310
1,4,0.040152960410672026,-0.010062662609009659,0.051928093683940905,0.7587209302325582,344
2,1,0.03670725997753955,-0.005603909961577236,0.06656540189124555,0.8125,288
2,2,0.03217607357014845,-0.00743951103363503,0.04830477170268221,0.7927927927927928,333
2,3,0.03023776027784667,-0.007518440757826515,0.04489007614416251,0.7838709677419354,310
2,4,0.03848524106311712,-0.006568277868659894,0.05878950935795222,0.7911764705882353,340
3,1,0.034155361872374036,-0.0019992760537510218,0.07032166817912242,0.8233333333333334,300
3,2,0.030934713576106405,-0.005611176702960584,0.04498793516070784,0.7846607669616519,339
3,3,0.029964934655959174,-0.005740733493541378,0.04870037918990445,0.8131487889273357,289
3,4,0.038453250473387095,-0.00529792168653641,0.06314497041487815,0.7947214076246334,341
4,1,0.03329030585419242,-0.0010183731695761027,0.07113746346676376,0.8445229681978799,283
4,2,0.031004466175804844,-0.004952388155682143,0.04787415458774994,0.7730061349693251,326
4,3,0.02862125128783189,-0.005608296717072507,0.04541059141391724,0.7733333333333333,300
4,4,0.03567046661987658,-0.004714658412483071,0.05733619291402837,0.7971830985915493,355
5,1,0.03038982520250542,-0.006263170668173887,0.044526662590396816,0.7171717171717171,297
5,2,0.03207252238945563,-0.009351990737882978,0.04081919299363986,0.7672955974842768,318
5,3,0.030723793814764092,-0.00787833236828495,0.04417189055042998,0.7524752475247525,303
5,4,0.03914858393765505,-0.009208364060746778,0.05036628020453059,0.752906976744186,344
6,1,0.032171807354610026,-0.004068186540709024,0.05825782417137848,0.7491408934707904,291
6,2,0.0316858562551533,-0.008706599774520646,0.03966105307124657,0.7624633431085044,341
6,3,0.02991319406771939,-0.007608542107486648,0.04195965640350212,0.7697368421052632,304
6,4,0.03906948764903032,-0.0071054085568500605,0.05667005376585805,0.7790697674418605,344
7,1,0.03369845934016262,0.0015024451435668503,0.07254652145011545,0.8052805280528053,303
7,2,0.03047790623695976,-0.005075283221838846,0.049265026957625246,0.7928994082840237,338
7,3,0.02977204523530017,-0.005927589290769929,0.04378756291085919,0.7580645161290323,310
7,4,0.037206609524379194,-0.004888698177430335,0.05990417547342414,0.7976878612716763,346
8,1,0.034234472419315466,-0.0015112059448175986,0.07195774769106984,0.826530612244898,294
8,2,0.030195513301057426,-0.005582087218777785,0.05131696085817909,0.8090909090909091,330
8,3,0.028942882280522615,-0.00619207116761677,0.04241676091070585,0.7811447811447811,297
8,4,0.037138662170518894,-0.004805850298849776,0.058684498908726575,0.7877094972067039,358
9,1,0.031114331170154327,-0.0010918008201197254,0.06014440974643454,0.8301282051282052,312
9,2,0.0318650143039098,-0.006217664482116681,0.04837012763096445,0.7650602409638554,332
9,3,0.030461353539626035,-0.0059830971705261155,0.04900228848913681,0.7908496732026143,306
9,4,0.03864891114643079,-0.005619597444160021,0.06367024074526981,0.8173652694610778,334
