metric,difference_definition,n_seeds,standard_mean,calibrated_mean,mean_difference,std_difference,ci95_difference_low,ci95_difference_high,calibrated_wins,standard_wins,ties,mean_relative_improvement_percent,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
test_mse,calibrated_minus_standard,10,0.0025145475589338565,0.0024559195097618542,-5.8628049172002646e-05,4.077540346685137e-05,-8.779701563575495e-05,-2.945908270825034e-05,10,0,0,2.3482523459606943,0.001392270067815202,0.0,0.001953125
test_mae,calibrated_minus_standard,10,0.03145000061044827,0.031004453551234344,-0.000445547059213924,0.00025655725917096825,-0.0006290770663387817,-0.00026201705208906626,10,0,0,1.4067712734304574,0.00038427741959488703,0.0,0.001953125
test_rmse,calibrated_minus_standard,10,0.05011137003138629,0.04951995832046467,-0.0005914117109216188,0.000408469878726773,-0.0008836134595498157,-0.00029920996229342185,10,0,0,1.1840912791252807,0.0013305273785268034,0.0,0.001953125
damaged_mae,calibrated_minus_standard,10,0.049375187310504394,0.04734734274578998,-0.002027844564714416,0.0009334736852504764,-0.0026956114120002305,-0.0013600777174286012,10,0,0,4.052010260362744,7.310931668255496e-05,0.0,0.001953125
zero_mae,calibrated_minus_standard,10,0.02363563436509661,0.023881560493277616,0.00024592612818100866,0.00016121643614743213,0.0001305988372269644,0.0003612534191350529,0,10,0,-1.0187484100178652,0.0009418985844654821,0.0,0.001953125
low_mae,calibrated_minus_standard,10,0.030295539823600122,0.03257398001993746,0.002278440196337341,0.0010343863856723788,0.0015384847519045695,0.0030183956407701124,0,10,0,-7.71089582373355,6.57040864366209e-05,0.0,0.001953125
medium_mae,calibrated_minus_standard,10,0.04261382781742059,0.04233557258491053,-0.00027825523251005996,0.0011835911031289439,-0.001124945301978787,0.0005684348369586671,7,3,0,0.5899325311965977,0.4761780816603059,19.0,0.431640625
high_mae,calibrated_minus_standard,10,0.06033738471601644,0.05569575180776837,-0.0046416329082480685,0.0015042938534060304,-0.005717739904891295,-0.003565525911604842,10,0,0,7.629745964842028,4.387828889464948e-06,0.0,0.001953125
high_abs_bias,calibrated_minus_standard,10,0.047432396528132435,0.03393410738868036,-0.013498289139452077,0.0035545146059639795,-0.016041035710202003,-0.010955542568702148,10,0,0,29.272903284325132,7.652130862994483e-07,0.0,0.001953125
high_underestimation_ratio,calibrated_minus_standard,10,0.7610611424846312,0.6573552417933878,-0.10370590069124352,0.03204966291304844,-0.12663284839012462,-0.08077895299236243,10,0,0,13.683135395252762,2.9543288397685087e-06,0.0,0.001953125
