seed,selection_mode,eligible_alpha_count,selected_alpha,base_C,base_gamma,base_epsilon,baseline_val_mse,selected_val_mse,baseline_val_low_mae,selected_val_low_mae,baseline_val_high_mae,selected_val_high_mae,baseline_val_high_abs_bias,selected_val_high_abs_bias,baseline_val_high_underestimation_ratio,selected_val_high_underestimation_ratio
0,calibrated,3,0.75,1000.0,0.001,0.04,0.002774411758267372,0.0026934789932717405,0.033476744549751816,0.036599997852873656,0.0692021353253528,0.06388941383736027,0.055186423803828065,0.041034082867263004,0.7888888888888889,0.6851851851851852
1,calibrated,6,1.5,1000.0,0.003,0.04,0.0024219865557635993,0.002388209477516785,0.03049220827193687,0.030803903440383914,0.054906007235033194,0.052340336817008344,0.041695721156985895,0.034157092199136714,0.7607142857142857,0.7142857142857143
2,calibrated,3,0.75,1000.0,0.001,0.04,0.002646411656193981,0.0025499238488570974,0.029971781362092508,0.03236326321545843,0.06655166518220171,0.06083728480926815,0.055237255727651605,0.0417526361383686,0.8156028368794326,0.6737588652482269
3,calibrated,3,0.75,1000.0,0.001,0.03,0.0026573193172250856,0.0025617992580663457,0.02765213100662604,0.03000158525490343,0.06798035042003053,0.06215139855493656,0.05346894608241103,0.040351181767852046,0.791970802919708,0.6970802919708029
4,calibrated,2,0.5,1000.0,0.001,0.03,0.0026773328310782415,0.002572948421586765,0.03040679293005914,0.032714269609219554,0.06722177964067344,0.061441082932856,0.05857479306093145,0.04742301572004131,0.8197879858657244,0.7455830388692579
5,calibrated,6,1.5,750.0,0.003,0.03,0.002330904567065386,0.0023110440834779957,0.031208574597669975,0.032755806431498294,0.05741541044011658,0.05603183382259759,0.039816147860008755,0.028382210370030914,0.6936619718309859,0.6126760563380281
6,calibrated,6,1.5,300.0,0.003,0.03,0.0026184001838502327,0.0025043560280347196,0.025803582700982108,0.026988752097647,0.06825592788425379,0.06066196435146603,0.05898144352842549,0.04097785626914648,0.8171641791044776,0.6791044776119403
7,calibrated,2,0.5,1000.0,0.001,0.02,0.002283956028311761,0.002187289323652856,0.03150051812200576,0.033917226276024226,0.06740081572798476,0.0625322854947982,0.05793740694721329,0.04935144746538827,0.8269230769230769,0.7730769230769231
8,calibrated,3,0.75,1000.0,0.001,0.03,0.0027473141750814674,0.0026731660855631345,0.029462179459084505,0.03212306944616651,0.06802415521445314,0.06195550719401174,0.056098612507654425,0.04024997078704291,0.7789855072463768,0.6739130434782609
9,calibrated,6,1.5,300.0,0.003,0.02,0.002014110862527558,0.0019765877395543064,0.027816154552301058,0.03005552736448282,0.05634458784110673,0.05043501291610116,0.04783636777751168,0.03047897701696424,0.8108108108108109,0.6602316602316602
