metric,difference_definition,n_seeds,standard_mean,weighted_mean,mean_difference,std_difference,ci95_difference_low,ci95_difference_high,weighted_wins,standard_wins,ties,mean_relative_improvement_percent,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
test_mse,weighted_minus_standard,10,0.0025145475589338565,0.002573576590204016,5.9029031270159015e-05,0.00019764681539202465,-8.235898306363488e-05,0.0002004170456039529,5,4,1,-2.2480247699533473,0.36960543421805786,19.0,0.734375
test_mae,weighted_minus_standard,10,0.03145000061044827,0.031031459591128973,-0.0004185410193192924,0.0007172680363637724,-0.0009316436625641349,9.456162392555006e-05,6,3,1,1.2838845091808866,0.09808849237673445,10.0,0.1640625
test_rmse,weighted_minus_standard,10,0.05011137003138629,0.05065276128796593,0.0005413912565796445,0.0018799738643875913,-0.0008034610303543767,0.0018862435435136656,5,4,1,-1.0572548788797538,0.38621147461859123,19.0,0.734375
damaged_mae,weighted_minus_standard,10,0.049375187310504394,0.04588780509480835,-0.0034873822156960394,0.0022867271617326734,-0.005123208282912205,-0.0018515561484798745,9,0,1,6.995769092521391,0.0009435022268305766,0.0,0.00390625
zero_mae,weighted_minus_standard,10,0.02363563436509661,0.024555832999949186,0.000920198634852577,0.0011908150333998135,6.834087697633277e-05,0.0017720563927288212,2,7,1,-3.8664086908346773,0.03714218735242704,6.0,0.0546875
low_mae,weighted_minus_standard,10,0.030295539823600122,0.031372351607802516,0.001076811784202406,0.0009952809294072034,0.00036483069797006143,0.0017887928704347503,1,8,1,-3.5625627400799216,0.007611979871948593,2.0,0.01171875
medium_mae,weighted_minus_standard,10,0.04261382781742059,0.040390908012806835,-0.0022229198046137565,0.001924472086931363,-0.0035996042023478843,-0.0008462354068796286,8,1,1,5.231650147861293,0.005295379617787348,1.0,0.0078125
high_mae,weighted_minus_standard,10,0.06033738471601644,0.054436998240078104,-0.005900386475938329,0.003638450586526103,-0.008503177230042793,-0.003297595721833866,9,0,1,9.634615359508103,0.0006210899185774526,0.0,0.00390625
high_abs_bias,weighted_minus_standard,10,0.047432396528132435,0.038476772250864356,-0.008955624277268079,0.00507987487626543,-0.01258954785147143,-0.005321700703064728,9,0,1,18.802388585985916,0.00034516995205076146,0.0,0.00390625
high_underestimation_ratio,weighted_minus_standard,10,0.7610611424846312,0.7224998276178916,-0.03856131486673975,0.025939609010891818,-0.05711739331086009,-0.020005236422619404,9,0,1,5.0704318417826055,0.0011186254184934014,0.0,0.00390625
