seed,selection_mode,eligible_candidate_count,selected_candidate,selected_C,selected_gamma,selected_epsilon,standard_C,standard_gamma,standard_epsilon,baseline_val_mse,selected_val_mse,baseline_val_zero_mae,selected_val_zero_mae,baseline_val_low_mae,selected_val_low_mae,baseline_val_high_mae,selected_val_high_mae,baseline_val_high_abs_bias,selected_val_high_abs_bias,baseline_val_high_underestimation_ratio,selected_val_high_underestimation_ratio,selected_support_vector_ratio
0,weighted_candidate,17,weighted_svr_w_1p5_C_1000_gamma_0p001_eps_0.03,1000.0,0.001,0.03,1000.0,0.001,0.04,0.002774411758267372,0.002722187925509622,0.025486475025773475,0.025238283185570334,0.033476744549751816,0.034374293179010945,0.0692021353253528,0.06399662775899703,0.055186423803828065,0.047543235892253045,0.7888888888888889,0.737037037037037,0.4894047619047619
1,weighted_candidate,12,weighted_svr_w_1p5_C_1000_gamma_0p003_eps_0.03,1000.0,0.003,0.03,1000.0,0.003,0.04,0.0024219865557635993,0.002403798581402186,0.02372398580322833,0.0233638730585617,0.03049220827193687,0.03011617002483097,0.054906007235033194,0.05159894058565249,0.041695721156985895,0.035477113789979295,0.7607142857142857,0.7285714285714285,0.485
2,weighted_candidate,25,weighted_svr_w_1p5_C_300_gamma_0p003_eps_0.03,300.0,0.003,0.03,1000.0,0.001,0.04,0.002646411656193981,0.0027495917163284124,0.023625284279868788,0.024155135841706695,0.029971781362092508,0.028955115268107397,0.06655166518220171,0.0591837696600078,0.055237255727651605,0.04641921820744633,0.8156028368794326,0.7659574468085106,0.48678571428571427
3,weighted_candidate,14,weighted_svr_w_1p5_C_500_gamma_0p003_eps_0.03,500.0,0.003,0.03,1000.0,0.001,0.03,0.0026573193172250856,0.002684744367800634,0.023985079019426724,0.026066001694217904,0.02765213100662604,0.028089704580222787,0.06798035042003053,0.05690411390507866,0.05346894608241103,0.036991603250647424,0.791970802919708,0.7262773722627737,0.48035714285714287
4,weighted_candidate,16,weighted_svr_w_1p5_C_750_gamma_0p003_eps_0.04,750.0,0.003,0.04,1000.0,0.001,0.03,0.0026773328310782415,0.002808132021466024,0.02409013761781696,0.026452505937911205,0.03040679293005914,0.030491544686135286,0.06722177964067344,0.058836724096783526,0.05857479306093145,0.04435154117630197,0.8197879858657244,0.7208480565371025,0.3717857142857143
5,weighted_candidate,18,weighted_svr_w_1p5_C_1000_gamma_0p003_eps_0.03,1000.0,0.003,0.03,750.0,0.003,0.03,0.002330904567065386,0.002376806785999798,0.02248112988789206,0.023339444780714775,0.031208574597669975,0.03212035277945308,0.05741541044011658,0.054129017871788906,0.039816147860008755,0.03385548826651113,0.6936619718309859,0.6725352112676056,0.4922619047619048
6,weighted_candidate,19,weighted_svr_w_1p5_C_1000_gamma_0p003_eps_0.02,1000.0,0.003,0.02,300.0,0.003,0.03,0.0026184001838502327,0.00262754395695734,0.02310848189084763,0.023262879363930383,0.025803582700982108,0.02732342292447221,0.06825592788425379,0.058140360967967625,0.05898144352842549,0.040688552497141796,0.8171641791044776,0.7350746268656716,0.6188095238095238
7,fallback_standard,0,rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,1000.0,0.001,0.02,0.002283956028311761,0.002283956028311761,0.02008494150253915,0.02008494150253915,0.03150051812200576,0.03150051812200576,0.06740081572798476,0.06740081572798476,0.05793740694721329,0.05793740694721329,0.8269230769230769,0.8269230769230769,0.6173809523809524
8,weighted_candidate,17,weighted_svr_w_1p5_C_300_gamma_0p003_eps_0.02,300.0,0.003,0.02,1000.0,0.001,0.03,0.0027473141750814674,0.002817653110451051,0.024581881802865257,0.02584478563733336,0.029462179459084505,0.031088195322403766,0.06802415521445314,0.05837476069255002,0.056098612507654425,0.042850287033633666,0.7789855072463768,0.7282608695652174,0.6205952380952381
9,weighted_candidate,8,weighted_svr_w_1p5_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,300.0,0.003,0.02,0.002014110862527558,0.0020148017204339604,0.020527427892895043,0.02200966617069655,0.027816154552301058,0.030359042694302663,0.05634458784110673,0.05036820593951776,0.04783636777751168,0.03699994662733408,0.8108108108108109,0.7644787644787645,0.6272619047619048
