sensor_count,layout_A,layout_B,feature_count_A,feature_count_B,same_feature_count,mae_A_minus_B_point,mae_A_minus_B_ci_lower,mae_A_minus_B_ci_upper,mae_prob_A_lower,high_mae_A_minus_B_point,high_mae_A_minus_B_ci_lower,high_mae_A_minus_B_ci_upper,high_mae_prob_A_lower
1,1,2,19,17,False,-0.0023482244154638537,-0.004120987404339515,-0.0004788675290682026,0.9932,-0.00969995758647993,-0.01631664909284628,-0.002785742960762582,0.9972
1,1,3,19,17,False,-0.0017579239335505786,-0.003538915528579894,6.812753727334099e-05,0.9678,-0.014062136615908216,-0.02100635378335049,-0.006889718555141714,1.0
1,1,4,19,17,False,-0.004319025126290552,-0.00584859770617386,-0.0027859892615072937,1.0,-0.021507943513093236,-0.026852691492800212,-0.01615134504622366,1.0
1,2,3,17,17,True,0.0005903004819132751,-0.0010014878119727632,0.002333140021544566,0.2372,-0.004362179029428287,-0.010940109380773071,0.002636932603426157,0.8878
1,2,4,17,17,True,-0.001970800710826698,-0.0031553692943641787,-0.0007658123390975878,0.9986,-0.011807985926613307,-0.016008466554671058,-0.007751555295443118,1.0
1,3,4,17,17,True,-0.002561101192739973,-0.0036798076405755438,-0.001487962018090576,1.0,-0.00744580689718502,-0.012627714501588583,-0.0026776032825790975,0.9994
2,12,13,36,31,False,-0.00297981693506031,-0.005726152824490958,-0.00012452539112707203,0.979,0.0009040531352471348,-0.008240914930229446,0.009965086235115016,0.4228
2,12,14,36,31,False,-0.005235110464254553,-0.007668284137629879,-0.0027175179639582743,0.9998,-0.00859917553683004,-0.016468730850245954,-0.0006834623295846457,0.983
2,12,23,36,34,False,-0.001252621790698287,-0.004374859986990003,0.001995024335349243,0.7704,-0.00699126803177208,-0.019564761730421022,0.005874071450219722,0.86
2,12,24,36,29,False,-0.009218354698249928,-0.012076927284015907,-0.006294183675952751,1.0,-0.022444981263102515,-0.033696255362938084,-0.011288214162286224,1.0
2,12,34,36,34,False,-0.002949786327590208,-0.006495126084556774,0.0005373855352765698,0.9538,-0.0011418555263199848,-0.01579025545619347,0.013449828784422515,0.5568
2,13,14,31,31,True,-0.0022552935291942425,-0.004088816337005215,-0.00041847695520436855,0.9932,-0.009503228672077174,-0.014813691002270368,-0.0043142578653501025,1.0
2,13,23,31,34,False,0.0017271951443620231,-0.0011427949867906977,0.004626951092352644,0.12,-0.007895321167019215,-0.018873135880639873,0.003239886668319404,0.9144
2,13,24,31,29,False,-0.006238537763189618,-0.009175977425031135,-0.0033535070384548634,1.0,-0.02334903439834965,-0.03417401417767806,-0.012564510827556354,1.0
2,13,34,31,34,False,3.0030607470102333e-05,-0.0030829765060956514,0.0028381875451397036,0.4892,-0.0020459086615671196,-0.01439686276620028,0.010101020255602907,0.6272
2,14,23,31,34,False,0.003982488673556266,0.0006868253110727064,0.0072828161770512306,0.0084,0.0016079075050579594,-0.010463980861999853,0.014296864904102279,0.3938
2,14,24,31,29,False,-0.0039832442339953755,-0.006684756663460741,-0.0013169533315306,0.9976,-0.013845805726272475,-0.024196587416454016,-0.00321167939804811,0.9942
2,14,34,31,34,False,0.002285324136664345,-0.0009431742270357684,0.005306886296596223,0.079,0.0074573200105100546,-0.0049707532961386,0.019927361191174633,0.1132
2,23,24,34,29,False,-0.007965732907551641,-0.01015207349273263,-0.005812405714971494,1.0,-0.015453713231330435,-0.02311763181163531,-0.008010856432668051,1.0
2,23,34,34,34,True,-0.0016971645368919208,-0.004823626556530396,0.0013665842103812128,0.857,0.005849412505452095,-0.007719937278659714,0.01949951375179742,0.1972
2,24,34,29,34,False,0.00626856837065972,0.0033879786520375496,0.009155526724954826,0.0,0.02130312573678253,0.009553215238991497,0.0335308541364146,0.0002
3,123,124,53,48,False,-0.008785305999889838,-0.011061731860024284,-0.006556378217372075,1.0,-0.0061534330501726575,-0.013575153626417027,0.0010351630545779892,0.9526
3,123,134,53,48,False,-0.0064873396472867745,-0.009587280419431425,-0.0034985838170505084,1.0,-0.0073047362885051564,-0.019053440798825753,0.004357921176076983,0.888
3,123,234,53,51,False,-0.006645444336990471,-0.009598330430024489,-0.0038450794427317297,1.0,-0.006994657514035843,-0.018995495864681806,0.004826271782127898,0.8716
3,124,134,48,48,True,0.0022979663526030633,-0.0006693638427674027,0.005189010695078209,0.065,-0.001151303238332499,-0.010946271114315235,0.008953279118456756,0.5914
3,124,234,48,51,False,0.002139861662899367,-0.00115853477748423,0.005428713738448501,0.0916,-0.0008412244638631855,-0.012875233031812948,0.010636819812115462,0.5538
3,134,234,48,51,False,-0.00015810468970369612,-0.003225928964368334,0.0028944966695883144,0.5404,0.0003100787744693134,-0.010216819939038096,0.011134925789388591,0.478
