candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,support_vectors_story_1,support_vectors_story_2,support_vectors_story_3,support_vectors_story_4,mean_support_vector_count,mean_support_vector_ratio,selected
rbf_svr_C_1000_gamma_0p00075_eps_0.03,1000.0,0.00075,0.03,0.002256262230781473,0.03071469315782859,7.101679874991532,1012,1023,923,1106,1016.0,0.4838095238095238,True
rbf_svr_C_1000_gamma_0p001_eps_0.03,1000.0,0.001,0.03,0.0022574990628334473,0.030360132920108637,9.053305874986108,980,1021,920,1096,1004.25,0.4782142857142857,False
rbf_svr_C_750_gamma_0p001_eps_0.03,750.0,0.001,0.03,0.0022656100908216795,0.030649429614029614,6.917368207999971,989,1020,918,1089,1004.0,0.4780952380952381,False
rbf_svr_C_500_gamma_0p001_eps_0.03,500.0,0.001,0.03,0.0022780925845067527,0.030926747108159566,4.651411457976792,998,1035,947,1107,1021.75,0.48654761904761906,False
rbf_svr_C_1000_gamma_0p00075_eps_0.02,1000.0,0.00075,0.02,0.0022911328678649413,0.03024078755577344,9.99225520802429,1238,1322,1252,1391,1300.75,0.6194047619047619,False
rbf_svr_C_750_gamma_0p001_eps_0.02,750.0,0.001,0.02,0.002300840191209554,0.030062755011573093,9.628626624995377,1229,1302,1235,1405,1292.75,0.6155952380952381,False
rbf_svr_C_750_gamma_0p00075_eps_0.03,750.0,0.00075,0.03,0.002303753704653586,0.031100449269226952,5.691385790996719,1005,1039,940,1110,1023.5,0.48738095238095236,False
rbf_svr_C_1000_gamma_0p001_eps_0.02,1000.0,0.001,0.02,0.0023052268491224165,0.02986011217269954,12.610216667002533,1218,1300,1220,1392,1282.5,0.6107142857142858,False
rbf_svr_C_1000_gamma_0p00075_eps_0.04,1000.0,0.00075,0.04,0.002319851591583562,0.0322699539928384,5.4724859580164775,799,801,694,900,798.5,0.38023809523809526,False
rbf_svr_C_500_gamma_0p001_eps_0.02,500.0,0.001,0.02,0.0023306531879302883,0.030413053572747963,6.233070207992569,1222,1318,1256,1403,1299.75,0.6189285714285714,False
rbf_svr_C_750_gamma_0p001_eps_0.04,750.0,0.001,0.04,0.0023344751304181207,0.03213142525062833,5.128050833009183,786,792,693,896,791.75,0.37702380952380954,False
rbf_svr_C_750_gamma_0p00075_eps_0.02,750.0,0.00075,0.02,0.0023443608576115675,0.03052684936386141,7.408872874977533,1240,1320,1270,1408,1309.5,0.6235714285714286,False
rbf_svr_C_1000_gamma_0p001_eps_0.04,1000.0,0.001,0.04,0.0023575353237454584,0.03188467426166667,7.689440749993082,778,788,698,891,788.75,0.3755952380952381,False
rbf_svr_C_750_gamma_0p00075_eps_0.04,750.0,0.00075,0.04,0.0023617993353134098,0.03261515395255471,3.7998370840214193,816,798,706,906,806.5,0.384047619047619,False
rbf_svr_C_300_gamma_0p0015_eps_0.03,300.0,0.0015,0.03,0.002365431878229098,0.03131527114978386,3.977546165988315,1000,1023,939,1100,1015.5,0.4835714285714286,False
rbf_svr_C_500_gamma_0p001_eps_0.04,500.0,0.001,0.04,0.002371123584199545,0.03262800722524163,3.4970414160052314,822,805,714,904,811.25,0.3863095238095238,False
rbf_svr_C_500_gamma_0p0015_eps_0.03,500.0,0.0015,0.03,0.0023762166765057026,0.030923960829855587,6.565455582982395,973,1008,925,1101,1001.75,0.4770238095238095,False
rbf_svr_C_500_gamma_0p00075_eps_0.03,500.0,0.00075,0.03,0.0024004640991050407,0.03175754898889277,3.6979221250512637,996,1043,964,1130,1033.25,0.49202380952380953,False
rbf_svr_C_500_gamma_0p0015_eps_0.02,500.0,0.0015,0.02,0.0024058368638026325,0.030264935377750816,9.098073499975726,1215,1286,1221,1404,1281.5,0.6102380952380952,False
rbf_svr_C_300_gamma_0p0015_eps_0.02,300.0,0.0015,0.02,0.002408397021790385,0.030689506337363125,5.353153709031176,1215,1313,1230,1408,1291.5,0.615,False
rbf_svr_C_300_gamma_0p001_eps_0.03,300.0,0.001,0.03,0.002408918560974952,0.03184929961339126,3.0198827090207487,1000,1041,961,1130,1033.0,0.4919047619047619,False
rbf_svr_C_1000_gamma_0p0005_eps_0.03,1000.0,0.0005,0.03,0.0024117485802076653,0.031829175138234536,5.188278458022978,1020,1036,962,1134,1038.0,0.4942857142857143,False
rbf_svr_C_500_gamma_0p0015_eps_0.04,500.0,0.0015,0.04,0.0024260968565207037,0.03230051367396273,4.604259208019357,785,787,696,892,790.0,0.3761904761904762,False
rbf_svr_C_500_gamma_0p00075_eps_0.04,500.0,0.00075,0.04,0.0024312611431498046,0.03312201147585361,2.7185293749789707,837,819,713,911,820.0,0.3904761904761905,False
rbf_svr_C_500_gamma_0p00075_eps_0.02,500.0,0.00075,0.02,0.00243164910564022,0.030992661795709933,4.8029749160050415,1228,1339,1274,1413,1313.5,0.6254761904761905,False
rbf_svr_C_300_gamma_0p0015_eps_0.04,300.0,0.0015,0.04,0.002436052007849314,0.03286634082740192,3.0606133340043016,807,808,712,898,806.25,0.38392857142857145,False
