candidate,C,gamma,gamma_display,epsilon,val_mse,val_mae,fit_seconds,support_vectors_story_1,support_vectors_story_2,support_vectors_story_3,support_vectors_story_4,mean_support_vector_count,mean_support_vector_ratio,selected
rbf_svr_C_100_gamma_0p003_eps_0.03,100.0,0.003,0.003,0.03,0.002480928318839576,0.03187263734314331,2.40869562496664,978,1026,930,1109,1010.75,0.48130952380952374,True
rbf_svr_C_300_gamma_0p003_eps_0.03,300.0,0.003,0.003,0.03,0.0025215632298251425,0.030986763594730484,6.806654542044271,926,1020,946,1117,1002.25,0.4772619047619048,False
rbf_svr_C_100_gamma_0p003_eps_0.02,100.0,0.003,0.003,0.02,0.002526891364974161,0.03107293037337598,3.238595000002533,1215,1311,1235,1409,1292.5,0.6154761904761905,False
rbf_svr_C_300_gamma_0p003_eps_0.05,300.0,0.003,0.003,0.05,0.0025578859005138295,0.033393862220240385,2.9678111669491045,614,630,560,736,635.0,0.3023809523809524,False
rbf_svr_C_300_gamma_0p003_eps_0.02,300.0,0.003,0.003,0.02,0.0025746774282387856,0.030289965629716444,9.90788595797494,1197,1308,1227,1415,1286.75,0.6127380952380952,False
rbf_svr_C_1000_gamma_0p003_eps_0.05,1000.0,0.003,0.003,0.05,0.0025876856994877743,0.032093675460063434,8.36774408299243,601,637,564,760,640.5,0.305,False
rbf_svr_C_100_gamma_0p003_eps_0.01,100.0,0.003,0.003,0.01,0.002595015704577803,0.03055563208266741,4.522120208013803,1591,1676,1637,1719,1655.75,0.7884523809523809,False
rbf_svr_C_100_gamma_0p003_eps_0.05,100.0,0.003,0.003,0.05,0.0026657525842943936,0.035824627899142265,1.2183568750042468,671,640,537,736,646.0,0.3076190476190477,False
rbf_svr_C_300_gamma_0p003_eps_0.01,300.0,0.003,0.003,0.01,0.0026747998306896658,0.030146253495120897,13.837466083001345,1600,1661,1626,1732,1654.75,0.7879761904761906,False
rbf_svr_C_30_gamma_0p01_eps_0.02,30.0,0.01,0.01,0.02,0.0026928791063596225,0.031665223812651966,2.5627062089624815,1212,1350,1236,1419,1304.25,0.6210714285714286,False
rbf_svr_C_30_gamma_0p01_eps_0.03,30.0,0.01,0.01,0.03,0.0027169091675048633,0.03273105026451188,1.650221124989912,969,1047,970,1126,1028.0,0.4895238095238096,False
rbf_svr_C_30_gamma_0p01_eps_0.01,30.0,0.01,0.01,0.01,0.0027740866817725484,0.031299116837001525,3.6554193340125494,1620,1710,1631,1743,1676.0,0.7980952380952382,False
rbf_svr_C_100_gamma_0p01_eps_0.03,100.0,0.01,0.01,0.03,0.0028005556048304268,0.03258004271511441,4.9120151669485494,964,1079,998,1132,1043.25,0.4967857142857143,False
rbf_svr_C_30_gamma_0p003_eps_0.03,30.0,0.003,0.003,0.03,0.002823452354861428,0.03461945119334473,0.8965201249811798,1021,1069,979,1141,1052.5,0.5011904761904762,False
rbf_svr_C_30_gamma_scale_eps_0.02,30.0,scale,scale,0.02,0.00282530496359194,0.03210300270508937,3.049868542002514,1245,1351,1266,1421,1320.75,0.6289285714285714,False
rbf_svr_C_100_gamma_0p01_eps_0.05,100.0,0.01,0.01,0.05,0.00284248524107998,0.03551915362312241,1.6214274169760756,658,679,601,767,676.25,0.32202380952380955,False
rbf_svr_C_30_gamma_0p003_eps_0.02,30.0,0.003,0.003,0.02,0.002846271307246812,0.03327662132453201,1.158686916984152,1233,1351,1273,1415,1318.0,0.6276190476190476,False
rbf_svr_C_100_gamma_0p01_eps_0.02,100.0,0.01,0.01,0.02,0.002850275844916562,0.03173123457425888,8.802903625008184,1246,1339,1246,1438,1317.25,0.6272619047619048,False
rbf_svr_C_30_gamma_scale_eps_0.01,30.0,scale,scale,0.01,0.0028562865126336343,0.03160064108278494,4.3536824159673415,1603,1722,1631,1771,1681.75,0.8008333333333333,False
rbf_svr_C_30_gamma_scale_eps_0.03,30.0,scale,scale,0.03,0.002907063460878466,0.03362744086354998,1.9191764160059392,978,1087,1008,1136,1052.25,0.5010714285714286,False
rbf_svr_C_300_gamma_0p01_eps_0.05,300.0,0.01,0.01,0.05,0.0029310219032856744,0.03520859487729255,2.6486933329724707,662,672,637,772,685.75,0.3265476190476191,False
rbf_svr_C_30_gamma_0p003_eps_0.01,30.0,0.003,0.003,0.01,0.002938755468052116,0.032536741673113156,1.4709906660136767,1539,1674,1663,1744,1655.0,0.7880952380952381,False
rbf_svr_C_30_gamma_0p01_eps_0.05,30.0,0.01,0.01,0.05,0.002958449483370706,0.03697153241115182,0.8692756670061499,675,695,615,758,685.75,0.32654761904761903,False
rbf_svr_C_1000_gamma_0p01_eps_0.05,1000.0,0.01,0.01,0.05,0.0029673967125922514,0.03533479141754745,3.525073249998968,673,688,655,814,707.5,0.33690476190476193,False
rbf_svr_C_100_gamma_0p01_eps_0.01,100.0,0.01,0.01,0.01,0.002987352508463318,0.03155687422904544,12.275381291052327,1606,1694,1636,1766,1675.5,0.7978571428571428,False
rbf_svr_C_100_gamma_scale_eps_0.03,100.0,scale,scale,0.03,0.003003702075781944,0.03369254059200882,4.712481874972582,983,1100,1012,1160,1063.75,0.506547619047619,False
rbf_svr_C_1000_gamma_0p003_eps_0.03,1000.0,0.003,0.003,0.03,0.003023204224030911,0.03149549306729185,22.47129495901754,923,1036,933,1129,1005.25,0.4786904761904762,False
rbf_svr_C_100_gamma_scale_eps_0.05,100.0,scale,scale,0.05,0.003031729096016785,0.03663525279809527,1.5715438339975663,687,722,637,786,708.0,0.33714285714285713,False
rbf_svr_C_30_gamma_0p003_eps_0.05,30.0,0.003,0.003,0.05,0.0030548089779208277,0.039630460718773686,0.5693389169755392,760,711,580,781,708.0,0.33714285714285713,False
rbf_svr_C_1000_gamma_0p003_eps_0.02,1000.0,0.003,0.003,0.02,0.003062300428361422,0.03082122551565899,35.380711500009056,1202,1317,1271,1399,1297.25,0.6177380952380952,False
rbf_svr_C_300_gamma_scale_eps_0.05,300.0,scale,scale,0.05,0.0030846768740649486,0.0365032807018576,2.087470625003334,699,715,658,780,713.0,0.33952380952380956,False
rbf_svr_C_100_gamma_scale_eps_0.02,100.0,scale,scale,0.02,0.003088918352052981,0.03295902794575065,8.461497125041205,1252,1367,1297,1452,1342.0,0.639047619047619,False
rbf_svr_C_1000_gamma_scale_eps_0.05,1000.0,scale,scale,0.05,0.003090016537021874,0.036607054544785085,2.450965583033394,689,715,656,819,719.75,0.3427380952380953,False
rbf_svr_C_30_gamma_scale_eps_0.05,30.0,scale,scale,0.05,0.003101378325224111,0.03775449984501931,0.8723235829966143,703,722,644,773,710.5,0.3383333333333333,False
rbf_svr_C_300_gamma_0p01_eps_0.03,300.0,0.01,0.01,0.03,0.0031349345867529013,0.033521878526399526,10.787593249988277,969,1088,1036,1165,1064.5,0.506904761904762,False
rbf_svr_C_300_gamma_scale_eps_0.03,300.0,scale,scale,0.03,0.003229812165832705,0.03436301128274858,9.208716749970336,977,1129,1053,1186,1086.25,0.5172619047619048,False
rbf_svr_C_1000_gamma_0p003_eps_0.01,1000.0,0.003,0.003,0.01,0.0032450767013629516,0.030844281881561148,49.477138917020056,1590,1670,1605,1745,1652.5,0.7869047619047619,False
rbf_svr_C_100_gamma_scale_eps_0.01,100.0,scale,scale,0.01,0.0032576653340888,0.03294620695686391,15.190993249998428,1600,1700,1696,1774,1692.5,0.8059523809523809,False
