feature_set,estimator,experiment_dir,metrics_path,model,best_candidate,condition_mode,output_mode,final_mode,n_features,best_epoch,best_val_mse,test_mse,test_mae,test_rmse,negative_prediction_ratio,mean_prediction_on_zero_entries,mae_on_damaged_entries,mean_true_damage,mean_pred_damage,precision_macro,recall_macro,f1_macro,exact_mask_match_ratio
full,ridge,results/tables/physics_ablation/debug_noise_000_1000/full/ridge,results/tables/physics_ablation/debug_noise_000_1000/full/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,92,not_available,0.0025655266182024322,0.002631774920219094,0.03446820373389739,0.05130082767577044,0.0,0.02552062936092368,0.052634491097207664,0.06508058598871913,0.06958699865740435,not_available,not_available,not_available,not_available
no_meta,ridge,results/tables/physics_ablation/debug_noise_000_1000/no_meta/ridge,results/tables/physics_ablation/debug_noise_000_1000/no_meta/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.0029112129500160834,0.0031066786557223027,0.03896727884037756,0.05573758745875446,0.0,0.03010098072212865,0.05696855077742837,0.06508058598871913,0.07146690787811094,not_available,not_available,not_available,not_available
physics_no_meta_core,ridge,results/tables/physics_ablation/debug_noise_000_1000/physics_no_meta_core/ridge,results/tables/physics_ablation/debug_noise_000_1000/physics_no_meta_core/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.0029112129500160834,0.0031066786557223027,0.03896727884037756,0.05573758745875446,0.0,0.03010098072212865,0.05696855077742837,0.06508058598871913,0.07146690787811094,not_available,not_available,not_available,not_available
full,elasticnet,results/tables/physics_ablation/debug_noise_000_1000/full/elasticnet,results/tables/physics_ablation/debug_noise_000_1000/full/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,92,not_available,0.00389371455044805,0.003930784739877449,0.046280083407778026,0.06269597068295098,0.0,0.03530882524648065,0.06855506209889693,0.06508058598871913,0.068541967940053,not_available,not_available,not_available,not_available
response_frequency,ridge,results/tables/physics_ablation/debug_noise_000_1000/response_frequency/ridge,results/tables/physics_ablation/debug_noise_000_1000/response_frequency/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,75,not_available,0.004034309734650896,0.004312946998570177,0.04812396736495623,0.06567303098357938,0.0,0.03691876850236264,0.07087391657082806,0.06508058598871913,0.07233153151526492,not_available,not_available,not_available,not_available
response_correlation,ridge,results/tables/physics_ablation/debug_noise_000_1000/response_correlation/ridge,results/tables/physics_ablation/debug_noise_000_1000/response_correlation/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,59,not_available,0.00395514686926511,0.004322196128789948,0.04812771639665456,0.06574341129565721,0.0,0.03771020738393275,0.06927841651339277,0.06508058598871913,0.07188196258581207,not_available,not_available,not_available,not_available
no_meta,elasticnet,results/tables/physics_ablation/debug_noise_000_1000/no_meta/elasticnet,results/tables/physics_ablation/debug_noise_000_1000/no_meta/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.004269968801992422,0.004363073156888027,0.048825725938764226,0.06605356278724128,0.0,0.037479261617973145,0.07186248683249159,0.06508058598871913,0.06925279628561187,not_available,not_available,not_available,not_available
physics_no_meta_core,elasticnet,results/tables/physics_ablation/debug_noise_000_1000/physics_no_meta_core/elasticnet,results/tables/physics_ablation/debug_noise_000_1000/physics_no_meta_core/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.004269968801992422,0.004363073156888027,0.048825725938764226,0.06605356278724128,0.0,0.037479261617973145,0.07186248683249159,0.06508058598871913,0.06925279628561187,not_available,not_available,not_available,not_available
response_correlation,elasticnet,results/tables/physics_ablation/debug_noise_000_1000/response_correlation/elasticnet,results/tables/physics_ablation/debug_noise_000_1000/response_correlation/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,59,not_available,0.0049084832276291715,0.005201387564043546,0.054736364243597464,0.07212064589313899,0.0,0.04214234870682563,0.08030603215158877,0.06508058598871913,0.06914394003211155,not_available,not_available,not_available,not_available
response_frequency,elasticnet,results/tables/physics_ablation/debug_noise_000_1000/response_frequency/elasticnet,results/tables/physics_ablation/debug_noise_000_1000/response_frequency/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,75,not_available,0.005585902295786324,0.005458553247325494,0.056433178803158825,0.07388202249076221,0.0,0.042608661253599474,0.08450113867650663,0.06508058598871913,0.06973110746439071,not_available,not_available,not_available,not_available
response_spatial,ridge,results/tables/physics_ablation/debug_noise_000_1000/response_spatial/ridge,results/tables/physics_ablation/debug_noise_000_1000/response_spatial/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,64,not_available,0.0052254730660869116,0.0059582796420651184,0.05791682646487125,0.07718989339327473,0.0,0.04298474737411313,0.08823347189156201,0.06508058598871913,0.0715300216181439,not_available,not_available,not_available,not_available
response_basic_only,ridge,results/tables/physics_ablation/debug_noise_000_1000/response_basic_only/ridge,results/tables/physics_ablation/debug_noise_000_1000/response_basic_only/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,52,not_available,0.005410696904760478,0.006157085522770183,0.05966047461732375,0.0784670983455498,0.0,0.044606734817702595,0.09022412814988794,0.06508058598871913,0.07181476859265695,not_available,not_available,not_available,not_available
response_spatial,elasticnet,results/tables/physics_ablation/debug_noise_000_1000/response_spatial/elasticnet,results/tables/physics_ablation/debug_noise_000_1000/response_spatial/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,64,not_available,0.006219242768061028,0.006522552047660346,0.062402840558311516,0.08076231824099867,0.0,0.04611418108182499,0.0954737552529963,0.06508058598871913,0.06911610963726343,not_available,not_available,not_available,not_available
response_basic_only,elasticnet,results/tables/physics_ablation/debug_noise_000_1000/response_basic_only/elasticnet,results/tables/physics_ablation/debug_noise_000_1000/response_basic_only/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,52,not_available,0.006387226824537898,0.0067551088737554405,0.06435167833749257,0.08218946936046881,0.0,0.048192990343551685,0.09715871153731194,0.06508058598871913,0.06927155049103885,not_available,not_available,not_available,not_available
response_correlation,random_forest,results/tables/physics_ablation/debug_noise_000_1000/response_correlation/random_forest,results/tables/physics_ablation/debug_noise_000_1000/response_correlation/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_1,not_applicable,clipped,not_applicable,59,not_available,0.008379708399000714,0.008196521537344473,0.0723051897693538,0.09053464274709694,0.0,0.050802931276613006,0.11596129034552448,0.06508058598871913,0.06234078919530293,not_available,not_available,not_available,not_available
no_meta,random_forest,results/tables/physics_ablation/debug_noise_000_1000/no_meta/random_forest,results/tables/physics_ablation/debug_noise_000_1000/no_meta/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_1,not_applicable,clipped,not_applicable,86,not_available,0.008331244034197993,0.008387961731014047,0.0726709731291066,0.09158581621088523,0.0,0.05117768741850296,0.11630885623851399,0.06508058598871913,0.062043305313385345,not_available,not_available,not_available,not_available
physics_no_meta_core,random_forest,results/tables/physics_ablation/debug_noise_000_1000/physics_no_meta_core/random_forest,results/tables/physics_ablation/debug_noise_000_1000/physics_no_meta_core/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_1,not_applicable,clipped,not_applicable,86,not_available,0.008331244034197993,0.008387961731014047,0.0726709731291066,0.09158581621088523,0.0,0.05117768741850296,0.11630885623851402,0.06508058598871913,0.062043305313385345,not_available,not_available,not_available,not_available
full,random_forest,results/tables/physics_ablation/debug_noise_000_1000/full/random_forest,results/tables/physics_ablation/debug_noise_000_1000/full/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_1,not_applicable,clipped,not_applicable,92,not_available,0.00831398834780255,0.008360408617212958,0.07272797291308312,0.09143527009427466,0.0,0.051379087703020646,0.11607267924866453,0.06508058598871913,0.0621785160961527,not_available,not_available,not_available,not_available
response_frequency,random_forest,results/tables/physics_ablation/debug_noise_000_1000/response_frequency/random_forest,results/tables/physics_ablation/debug_noise_000_1000/response_frequency/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_1,not_applicable,clipped,not_applicable,75,not_available,0.008797686228478938,0.009282777348723122,0.07628548096127685,0.09634717094301795,0.0,0.05373994793985124,0.12205974497447428,0.06508058598871913,0.06199431669186412,not_available,not_available,not_available,not_available
response_basic_only,random_forest,results/tables/physics_ablation/debug_noise_000_1000/response_basic_only/random_forest,results/tables/physics_ablation/debug_noise_000_1000/response_basic_only/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_3,not_applicable,clipped,not_applicable,52,not_available,0.009161069597117898,0.009500609460993325,0.07785555917572616,0.0974710698668755,0.0,0.05475031731572428,0.12476620173997241,0.06508058598871913,0.06190390660022534,not_available,not_available,not_available,not_available
response_spatial,random_forest,results/tables/physics_ablation/debug_noise_000_1000/response_spatial/random_forest,results/tables/physics_ablation/debug_noise_000_1000/response_spatial/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_1,not_applicable,clipped,not_applicable,64,not_available,0.009107827733446068,0.00963239447311151,0.07812532279900265,0.09814476284097645,0.0,0.05534043213991502,0.12438555534927148,0.06508058598871913,0.06250170539998164,not_available,not_available,not_available,not_available
