feature_set,estimator,experiment_dir,metrics_path,model,best_candidate,condition_mode,output_mode,final_mode,n_features,best_epoch,best_val_mse,test_mse,test_mae,test_rmse,negative_prediction_ratio,mean_prediction_on_zero_entries,mae_on_damaged_entries,mean_true_damage,mean_pred_damage,precision_macro,recall_macro,f1_macro,exact_mask_match_ratio
full,ridge,results/tables/physics_ablation/debug_noise_002_1000/full/ridge,results/tables/physics_ablation/debug_noise_002_1000/full/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,92,not_available,0.0025618873593267794,0.002862144159751914,0.03613336146130916,0.05349901082965847,0.0,0.03014789126905001,0.04998922892294776,0.06000708639309315,0.07099097345369446,not_available,not_available,not_available,not_available
no_meta,ridge,results/tables/physics_ablation/debug_noise_002_1000/no_meta/ridge,results/tables/physics_ablation/debug_noise_002_1000/no_meta/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.003113249318913536,0.00305565568285722,0.03792608807438909,0.05527798551735781,0.0,0.03042584554621783,0.055288527960045186,0.06000708639309315,0.06931670811233454,not_available,not_available,not_available,not_available
physics_no_meta_core,ridge,results/tables/physics_ablation/debug_noise_002_1000/physics_no_meta_core/ridge,results/tables/physics_ablation/debug_noise_002_1000/physics_no_meta_core/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.003113249318913536,0.00305565568285722,0.03792608807438909,0.05527798551735781,0.0,0.03042584554621783,0.055288527960045186,0.06000708639309315,0.06931670811233454,not_available,not_available,not_available,not_available
full,elasticnet,results/tables/physics_ablation/debug_noise_002_1000/full/elasticnet,results/tables/physics_ablation/debug_noise_002_1000/full/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,92,not_available,0.003581051795818048,0.003735584299283349,0.045634506416308826,0.06111942652940511,0.0,0.03677621354394069,0.06614072030317207,0.06000708639309315,0.06798322711785783,not_available,not_available,not_available,not_available
response_frequency,ridge,results/tables/physics_ablation/debug_noise_002_1000/response_frequency/ridge,results/tables/physics_ablation/debug_noise_002_1000/response_frequency/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,75,not_available,0.004126832728570394,0.004060730680926953,0.046279820621625854,0.06372386272760741,0.0,0.0356209426773326,0.07095423973023841,0.06000708639309315,0.06770825099381848,not_available,not_available,not_available,not_available
no_meta,elasticnet,results/tables/physics_ablation/debug_noise_002_1000/no_meta/elasticnet,results/tables/physics_ablation/debug_noise_002_1000/no_meta/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.004126962693668839,0.004050083940849919,0.047389850622414895,0.06364026980497427,0.0,0.037188511876561914,0.07100510440425131,0.06000708639309315,0.0667814756211279,not_available,not_available,not_available,not_available
physics_no_meta_core,elasticnet,results/tables/physics_ablation/debug_noise_002_1000/physics_no_meta_core/elasticnet,results/tables/physics_ablation/debug_noise_002_1000/physics_no_meta_core/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.004126962693668839,0.004050083940849919,0.047389850622414895,0.06364026980497427,0.0,0.037188511876561914,0.07100510440425131,0.06000708639309315,0.0667814756211279,not_available,not_available,not_available,not_available
response_correlation,ridge,results/tables/physics_ablation/debug_noise_002_1000/response_correlation/ridge,results/tables/physics_ablation/debug_noise_002_1000/response_correlation/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,59,not_available,0.004186303232097584,0.004401372743021004,0.04841291846154852,0.06634284244001763,0.0,0.03897718957413763,0.07025584886942236,0.06000708639309315,0.07001483131876916,not_available,not_available,not_available,not_available
response_correlation,elasticnet,results/tables/physics_ablation/debug_noise_002_1000/response_correlation/elasticnet,results/tables/physics_ablation/debug_noise_002_1000/response_correlation/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,59,not_available,0.0047041357698669045,0.005103563450666481,0.054241302728179834,0.07143922907385326,0.0,0.04233234719533738,0.0818095478566936,0.06000708639309315,0.06658195158789752,not_available,not_available,not_available,not_available
response_frequency,elasticnet,results/tables/physics_ablation/debug_noise_002_1000/response_frequency/elasticnet,results/tables/physics_ablation/debug_noise_002_1000/response_frequency/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,75,not_available,0.005526683602516303,0.005572337415744464,0.0559375228818064,0.07464809050300258,0.0,0.04166688762494875,0.08897286085210117,0.06000708639309315,0.06455949254521083,not_available,not_available,not_available,not_available
response_spatial,ridge,results/tables/physics_ablation/debug_noise_002_1000/response_spatial/ridge,results/tables/physics_ablation/debug_noise_002_1000/response_spatial/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,64,not_available,0.005455218037698442,0.005620405063388095,0.056244715290567564,0.07496936083086274,0.0,0.04305269396455529,0.08678315139885014,0.06000708639309315,0.06825097871155741,not_available,not_available,not_available,not_available
