feature_set,estimator,experiment_dir,metrics_path,model,best_candidate,condition_mode,output_mode,final_mode,n_features,best_epoch,best_val_mse,test_mse,test_mae,test_rmse,negative_prediction_ratio,mean_prediction_on_zero_entries,mae_on_damaged_entries,mean_true_damage,mean_pred_damage,precision_macro,recall_macro,f1_macro,exact_mask_match_ratio
full,ridge,results/tables/physics_ablation/debug_sensors_1234_3000/full/ridge,results/tables/physics_ablation/debug_sensors_1234_3000/full/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,92,not_available,0.0031305831963274076,0.0034278763736757334,0.039335715058946084,0.05854806891500123,0.0,0.028594249901599988,0.0634314341956954,0.061442062571819854,0.06711365946441424,not_available,not_available,not_available,not_available
no_meta,ridge,results/tables/physics_ablation/debug_sensors_1234_3000/no_meta/ridge,results/tables/physics_ablation/debug_sensors_1234_3000/no_meta/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.0035227471837640033,0.0038076678961539534,0.04245771963851021,0.06170630353662382,0.0,0.030334987091196225,0.06965195751491725,0.061442062571819854,0.06647813653102201,not_available,not_available,not_available,not_available
physics_no_meta_core,ridge,results/tables/physics_ablation/debug_sensors_1234_3000/physics_no_meta_core/ridge,results/tables/physics_ablation/debug_sensors_1234_3000/physics_no_meta_core/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,86,not_available,0.0035227471837640033,0.0038076678961539534,0.04245771963851021,0.06170630353662382,0.0,0.030334987091196225,0.06965195751491725,0.061442062571819854,0.06647813653102201,not_available,not_available,not_available,not_available
full,elasticnet,results/tables/physics_ablation/debug_sensors_1234_3000/full/elasticnet,results/tables/physics_ablation/debug_sensors_1234_3000/full/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,92,not_available,0.004132452947291898,0.004316691643091519,0.04760068508655089,0.06570153455659555,0.0,0.03401949146576155,0.07806660591156483,0.061442062571819854,0.06427172245356765,not_available,not_available,not_available,not_available
response_frequency,ridge,results/tables/physics_ablation/debug_sensors_1234_3000/response_frequency/ridge,results/tables/physics_ablation/debug_sensors_1234_3000/response_frequency/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,75,not_available,0.0045162404202628015,0.004822237810855769,0.05004156591568605,0.06944233442832815,0.0,0.036160832663628385,0.08117942699462621,0.061442062571819854,0.0669499956162918,not_available,not_available,not_available,not_available
no_meta,elasticnet,results/tables/physics_ablation/debug_sensors_1234_3000/no_meta/elasticnet,results/tables/physics_ablation/debug_sensors_1234_3000/no_meta/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.004593063167677551,0.004717953018371627,0.050213745801792185,0.06868735704896227,0.0,0.03539034004943367,0.08346625059762344,0.061442062571819854,0.06365101440895961,not_available,not_available,not_available,not_available
physics_no_meta_core,elasticnet,results/tables/physics_ablation/debug_sensors_1234_3000/physics_no_meta_core/elasticnet,results/tables/physics_ablation/debug_sensors_1234_3000/physics_no_meta_core/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,86,not_available,0.004593063167677551,0.004717953018371627,0.050213745801792185,0.06868735704896227,0.0,0.03539034004943367,0.08346625059762344,0.061442062571819854,0.06365101440895961,not_available,not_available,not_available,not_available
response_correlation,ridge,results/tables/physics_ablation/debug_sensors_1234_3000/response_correlation/ridge,results/tables/physics_ablation/debug_sensors_1234_3000/response_correlation/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,59,not_available,0.0046840322013817345,0.004895714394947915,0.051220368459734496,0.06996938183911527,0.0,0.037834379633643986,0.08124839744799159,0.061442062571819854,0.06735473165027395,not_available,not_available,not_available,not_available
response_correlation,elasticnet,results/tables/physics_ablation/debug_sensors_1234_3000/response_correlation/elasticnet,results/tables/physics_ablation/debug_sensors_1234_3000/response_correlation/elasticnet/metrics.json,PhysicsSklearnRegressor,elasticnet_alpha_0.0005_l1_0.1,not_applicable,clipped,not_applicable,59,not_available,0.005264523609142283,0.005508829453778778,0.05598140167575371,0.07422148916438405,0.0,0.04060520967785956,0.09047394048184057,0.061442062571819854,0.06487914100453158,not_available,not_available,not_available,not_available
response_spatial,ridge,results/tables/physics_ablation/debug_sensors_1234_3000/response_spatial/ridge,results/tables/physics_ablation/debug_sensors_1234_3000/response_spatial/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_0.01,not_applicable,clipped,not_applicable,64,not_available,0.005685063102052972,0.005851554852521092,0.056831041113518735,0.0764954564174964,0.0,0.0405141532894595,0.09343378947559758,0.061442062571819854,0.065629805657506,not_available,not_available,not_available,not_available
