feature_set,estimator,experiment_dir,metrics_path,model,best_candidate,condition_mode,output_mode,final_mode,n_features,best_epoch,best_val_mse,test_mse,test_mae,test_rmse,negative_prediction_ratio,mean_prediction_on_zero_entries,mae_on_damaged_entries,mean_true_damage,mean_pred_damage,precision_macro,recall_macro,f1_macro,exact_mask_match_ratio
full,random_forest,results/tables/physics_ablation/debug_sensors_4_3000/full/random_forest,results/tables/physics_ablation/debug_sensors_4_3000/full/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_5,not_applicable,clipped,not_applicable,92,not_available,0.00963771761926407,0.010219187763949865,0.08014137556241581,0.10108999833786657,0.0,0.0568912294911065,0.13229710864129882,0.061442062571819854,0.060546231993077286,not_available,not_available,not_available,not_available
no_meta,random_forest,results/tables/physics_ablation/debug_sensors_4_3000/no_meta/random_forest,results/tables/physics_ablation/debug_sensors_4_3000/no_meta/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_5,not_applicable,clipped,not_applicable,86,not_available,0.009696129098946609,0.010282577581730854,0.08072690136863378,0.10140304522908004,0.0,0.05750973982217644,0.13280864213501112,0.061442062571819854,0.060772976930482926,not_available,not_available,not_available,not_available
physics_no_meta_core,random_forest,results/tables/physics_ablation/debug_sensors_4_3000/physics_no_meta_core/random_forest,results/tables/physics_ablation/debug_sensors_4_3000/physics_no_meta_core/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_None_leaf_5,not_applicable,clipped,not_applicable,86,not_available,0.009696129098946609,0.010282577581730854,0.0807269013686338,0.10140304522908004,0.0,0.057509739822176435,0.1328086421350111,0.061442062571819854,0.060772976930482926,not_available,not_available,not_available,not_available
response_correlation,random_forest,results/tables/physics_ablation/debug_sensors_4_3000/response_correlation/random_forest,results/tables/physics_ablation/debug_sensors_4_3000/response_correlation/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_4_leaf_5,not_applicable,clipped,not_applicable,59,not_available,0.009879055409662992,0.010618981626860808,0.08279461884213592,0.1030484431074085,0.0,0.0586146269140791,0.1370362223564255,0.061442062571819854,0.059924641640424,not_available,not_available,not_available,not_available
response_frequency,random_forest,results/tables/physics_ablation/debug_sensors_4_3000/response_frequency/random_forest,results/tables/physics_ablation/debug_sensors_4_3000/response_frequency/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_4_leaf_5,not_applicable,clipped,not_applicable,75,not_available,0.009938592649489273,0.010663526189951303,0.08308778114083619,0.10326435101210535,0.0,0.058908307197705186,0.13732822268894088,0.061442062571819854,0.060026108368046796,not_available,not_available,not_available,not_available
response_spatial,random_forest,results/tables/physics_ablation/debug_sensors_4_3000/response_spatial/random_forest,results/tables/physics_ablation/debug_sensors_4_3000/response_spatial/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_4_leaf_5,not_applicable,clipped,not_applicable,64,not_available,0.009927123674879097,0.010716082434325805,0.08321607726483927,0.10351851251986673,0.0,0.05906658117696006,0.13738927119170344,0.061442062571819854,0.060107428101739566,not_available,not_available,not_available,not_available
response_basic_only,random_forest,results/tables/physics_ablation/debug_sensors_4_3000/response_basic_only/random_forest,results/tables/physics_ablation/debug_sensors_4_3000/response_basic_only/random_forest/metrics.json,PhysicsSklearnRegressor,random_forest_depth_3_leaf_5,not_applicable,clipped,not_applicable,52,not_available,0.009963327554817505,0.010749337370031706,0.08342395491128074,0.10367901123193501,0.0,0.0592058851175736,0.13775097634040762,0.061442062571819854,0.060105923362485277,not_available,not_available,not_available,not_available
full,ridge,results/tables/physics_ablation/debug_sensors_4_3000/full/ridge,results/tables/physics_ablation/debug_sensors_4_3000/full/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_10.0,not_applicable,clipped,not_applicable,92,not_available,0.01022336139893978,0.010934897109039604,0.08454680817885854,0.1045700583773367,0.0,0.06002563670728421,0.1395537603988766,0.061442062571819854,0.06014592166371789,not_available,not_available,not_available,not_available
no_meta,ridge,results/tables/physics_ablation/debug_sensors_4_3000/no_meta/ridge,results/tables/physics_ablation/debug_sensors_4_3000/no_meta/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_300.0,not_applicable,clipped,not_applicable,86,not_available,0.01023652505709463,0.010925403917877633,0.0846191620153005,0.10452465698521872,0.0,0.060180693166380896,0.1394405921358499,0.061442062571819854,0.060262550457022813,not_available,not_available,not_available,not_available
physics_no_meta_core,ridge,results/tables/physics_ablation/debug_sensors_4_3000/physics_no_meta_core/ridge,results/tables/physics_ablation/debug_sensors_4_3000/physics_no_meta_core/ridge/metrics.json,PhysicsSklearnRegressor,ridge_alpha_300.0,not_applicable,clipped,not_applicable,86,not_available,0.01023652505709463,0.010925403917877633,0.0846191620153005,0.10452465698521872,0.0,0.060180693166380896,0.1394405921358499,0.061442062571819854,0.060262550457022813,not_available,not_available,not_available,not_available
